t,Re_c,Im_c,abs_c,rho2,V_mem_x0
73.000000,2.891894384872e-01,2.032397969617e-01,3.534642080913e-01,5.651257110012e-01,0.000000000000e+00
73.010000,2.914461304557e-01,2.061413693984e-01,3.569805472782e-01,5.679236931809e-01,0.000000000000e+00
73.020000,2.937014965228e-01,2.090400476846e-01,3.604973101088e-01,5.706078092997e-01,0.000000000000e+00
73.030000,2.959552271312e-01,2.119375804876e-01,3.640151569499e-01,5.731665729826e-01,0.000000000000e+00
73.040000,2.982070174695e-01,2.148357060396e-01,3.675347682296e-01,5.755887647460e-01,0.000000000000e+00
73.050000,3.004565654937e-01,2.177361466899e-01,3.710568384003e-01,5.778634962409e-01,0.000000000000e+00
73.060000,3.027035698711e-01,2.206406034715e-01,3.745820699299e-01,5.799802744607e-01,0.000000000000e+00
73.070000,3.049477278598e-01,2.235507507066e-01,3.781111673415e-01,5.819290654239e-01,0.000000000000e+00
73.080000,3.071887331381e-01,2.264682306816e-01,3.816448313223e-01,5.837003568228e-01,0.000000000000e+00
73.090000,3.094262736009e-01,2.293946484188e-01,3.851837529255e-01,5.852852191157e-01,0.000000000000e+00
73.100000,3.116600291384e-01,2.323315665740e-01,3.887286078864e-01,5.866753645315e-01,0.000000000000e+00
73.110000,3.138896694169e-01,2.352805004884e-01,3.922800510818e-01,5.878632034543e-01,0.000000000000e+00
73.120000,3.161148516782e-01,2.382429134235e-01,3.958387111540e-01,5.888418976539e-01,0.000000000000e+00
73.130000,3.183352185789e-01,2.412202120060e-01,3.994051853293e-01,5.896054098424e-01,0.000000000000e+00
73.140000,3.205503960888e-01,2.442137419104e-01,4.029800344565e-01,5.901485490468e-01,0.000000000000e+00
73.150000,3.227599914682e-01,2.472247838038e-01,4.065637782924e-01,5.904670113123e-01,0.000000000000e+00
73.160000,3.249635913463e-01,2.502545495785e-01,4.101568910618e-01,5.905574152774e-01,0.000000000000e+00
73.170000,3.271607599206e-01,2.533041788937e-01,4.137597973182e-01,5.904173321954e-01,0.000000000000e+00
73.180000,3.293510372980e-01,2.563747360483e-01,4.173728681325e-01,5.900453100178e-01,0.000000000000e+00
73.190000,3.315339379989e-01,2.594672072031e-01,4.209964176319e-01,5.894408912010e-01,0.000000000000e+00
73.200000,3.337089496438e-01,2.625824979683e-01,4.246306999165e-01,5.886046239482e-01,0.000000000000e+00
