x,linear,memory_only,anti_collapse,cubic_only
-9.687500,8.20093508e-04,6.23996023e-03,3.24656059e-04,5.64338211e-05
-9.531250,1.24911003e-03,9.17631076e-03,7.32399257e-04,2.62580891e-04
-9.375000,1.54028318e-03,1.08410799e-02,1.17655055e-03,5.95744920e-04
-9.218750,1.54955569e-03,1.03936191e-02,1.49529496e-03,9.68911553e-04
-9.062500,1.22413630e-03,7.78219001e-03,1.54849372e-03,1.25608681e-03
-8.906250,6.66578929e-04,3.97866415e-03,1.29058615e-03,1.33858995e-03
-8.750000,1.45861341e-04,7.93787980e-04,8.12261589e-04,1.16026269e-03
-8.593750,2.95046523e-05,2.44274813e-04,3.17802006e-04,7.68308352e-04
-8.437500,6.41267108e-04,3.65121098e-03,4.63142953e-05,3.17572722e-04
-8.281250,2.08842052e-03,1.08462038e-02,1.79510284e-04,2.81979832e-05
-8.125000,4.13393546e-03,1.99179550e-02,7.69000911e-04,1.05457735e-04
-7.968750,6.19302036e-03,2.77455047e-02,1.69069189e-03,6.48382692e-04
-7.812500,7.49875286e-03,3.11924215e-02,2.64424142e-03,1.58352651e-03
-7.656250,7.41242375e-03,2.84988452e-02,3.24140072e-03,2.65784975e-03
-7.500000,5.77427192e-03,2.02972163e-02,3.19050518e-03,3.50827803e-03
-7.343750,3.13641632e-03,9.79094943e-03,2.48080397e-03,3.79592779e-03
-7.187500,7.27482759e-04,1.86600687e-03,1.41942787e-03,3.35875214e-03
-7.031250,8.31167324e-05,1.24071215e-03,4.73352126e-04,2.31555414e-03
-6.875000,2.41955395e-03,1.02472524e-02,3.57952843e-05,1.06480364e-03
-6.718750,7.97502062e-03,2.72959194e-02,2.85948439e-04,1.63655445e-04
-6.562500,1.56242150e-02,4.70150731e-02,1.18810213e-03,1.23973103e-04
-6.406250,2.30256661e-02,6.22324772e-02,2.53175244e-03,1.19697851e-03
-6.250000,2.73776895e-02,6.69023862e-02,3.92477773e-03,3.22698132e-03
-6.093750,2.65884208e-02,5.86678381e-02,4.80457472e-03,5.64232128e-03
-5.937500,2.04178663e-02,4.01397753e-02,4.62485789e-03,7.61822535e-03
-5.781250,1.10509902e-02,1.85123808e-02,3.24781338e-03,8.38369591e-03
-5.625000,2.69554555e-03,3.37952277e-03,1.31253196e-03,7.56308326e-03
-5.468750,1.58736982e-04,2.98728933e-03,2.27719955e-04,5.39291816e-03
-5.312500,6.82358788e-03,2.01751726e-02,1.60051179e-03,2.69243314e-03
-5.156250,2.28206999e-02,5.02794772e-02,6.27732641e-03,5.84261999e-04
-5.000000,4.42751675e-02,8.26980737e-02,1.36198044e-02,7.79864011e-05
-4.843750,6.41989226e-02,1.05420681e-01,2.20927125e-02,1.67155480e-03
-4.687500,7.49591114e-02,1.09898093e-01,3.22606412e-02,5.10297234e-03
-4.531250,7.15167682e-02,9.40905189e-02,5.19840539e-02,9.34857671e-03
-4.375000,5.41228387e-02,6.32674499e-02,1.00525540e-01,1.29222134e-02
-4.218750,2.91607913e-02,2.88551703e-02,2.03101580e-01,1.44335489e-02
-4.062500,7.42929950e-03,5.13037854e-03,3.61520142e-01,1.32042181e-02
-3.906250,1.91814293e-04,3.67771655e-03,5.08273239e-01,9.63187642e-03
-3.750000,1.43788869e-02,2.75013581e-02,5.36013379e-01,5.08343181e-03
-3.593750,4.89311903e-02,6.86580667e-02,4.33796064e-01,1.36239697e-03
-3.437500,9.40681511e-02,1.11740717e-01,2.95631642e-01,1.11906432e-05
-3.281250,1.34229174e-01,1.40944489e-01,1.90116502e-01,1.72454137e-03
-3.125000,1.53911975e-01,1.46108491e-01,1.23965313e-01,6.04373664e-03
-2.968750,1.44247999e-01,1.25432613e-01,8.16688847e-02,1.14261498e-02
-2.812500,1.07552028e-01,8.56547590e-02,5.17380405e-02,1.57463164e-02
-2.656250,5.76327637e-02,4.06874559e-02,3.01570499e-02,1.71540189e-02
-2.500000,1.52463680e-02,8.04424823e-03,1.61304769e-02,1.49562331e-02
-2.343750,1.22693832e-04,2.21843793e-03,8.70236449e-03,1.00295524e-02
-2.187500,2.26310923e-02,2.72293134e-02,5.95621187e-03,4.47780763e-03
-2.031250,7.86098264e-02,7.36979970e-02,5.70837819e-03,7.28250470e-04
