t,norm,peak,PR,R_rms,finite,mass_w,mass_out,peak_w,n_cells_w,com_x,com_y,com_z,d_com,median_out,contrast,y_corr_w,y_corr_out,planted,alive,backend
0.6950000000000001,2205.83251953125,2.844341993331909,16347.994556976435,16.00113299863319,True,19.07117462158203,2186.76123046875,2.844341993331909,1,8.027348422954287,0.0036765611653059647,0.07091984270124052,0.07609912896254126,0.04663919657468796,60.98608471475239,0.842943632751693,0.7260078456631898,True,True,numpy
0.7000000000000001,2221.1044921875,2.9312727451324463,16353.109568296239,16.001515097228154,True,19.273639678955078,2201.8310546875,2.9312727451324463,1,8.031055303740185,0.0023781869209771283,0.07048762248854307,0.07706226435495933,0.04693109914660454,62.4590686865369,0.8438520947702497,0.7259087759003929,True,True,numpy
0.705,2236.918212890625,2.8998844623565674,16360.527706065342,16.001546810658066,True,19.36236000061035,2217.555908203125,2.8998844623565674,1,8.028269253184062,-0.004331839990767415,0.07246115282751948,0.0779007970587166,0.04729799926280975,61.31093296871727,0.8437298136719432,0.7258514926005608,True,True,numpy
0.71,2252.545166015625,2.988316774368286,16357.134064261116,16.00098127527244,True,19.4424991607666,2233.1025390625,2.988316774368286,1,8.030610445252755,7.136558532569268e-05,0.07389751818449036,0.07998654665283256,0.04765544831752777,62.7067183264579,0.8466768154746065,0.7253614736411867,True,True,numpy
0.715,2268.138671875,3.078407049179077,16359.972721912725,16.00219318694091,True,19.534954071044922,2248.603271484375,3.078407049179077,1,8.0334224004546,-0.005080252210021824,0.07762753514595243,0.08466935707504349,0.04795210435986519,64.19753815341696,0.849974184015622,0.7252099476336994,True,True,numpy
0.72,2284.26123046875,3.0633323192596436,16362.528246773072,16.003294146835795,True,19.598846435546875,2264.66259765625,3.0633323192596436,1,8.0319843232024,-0.011140598769901153,0.077425251283034,0.08450904926638586,0.0482478104531765,63.49163393088157,0.8503105495746639,0.7247743694179899,True,True,numpy
0.725,2299.5947265625,3.172316551208496,16366.59826681093,16.002809248256213,True,19.67877197265625,2279.916015625,3.172316551208496,1,8.037999690404584,-0.008516076814850396,0.07845264420948045,0.08758605721586064,0.04854157939553261,65.35256146816788,0.8518794209211467,0.7245871569927809,True,True,numpy
0.73,2314.037353515625,3.262139320373535,16365.683315704064,16.003743422556138,True,19.681936264038086,2294.355224609375,3.262139320373535,1,8.031237103878887,-0.008926769122721773,0.08065122423095215,0.0869486275662938,0.04889456927776337,66.7178250787274,0.8552970666638431,0.7241172850177678,True,True,numpy
0.735,2329.891357421875,3.3975517749786377,16364.961397819789,16.005126196750844,True,19.811439514160156,2310.079345703125,3.3975517749786377,1,8.03747015828448,-0.002251996398723843,0.07775265733337858,0.08633979367618162,0.04926154389977455,68.96965677509321,0.8562691019223997,0.7238331207426543,True,True,numpy
0.74,2345.314208984375,3.4622457027435303,16360.36213072577,16.005023894487852,True,20.057025909423828,2325.257568359375,3.4622457027435303,1,8.040512174769727,-0.002698336178292002,0.0823873916743582,0.09184878676176464,0.04947758838534355,69.97603997548778,0.8588569608258716,0.7237173658975977,True,True,numpy
