t,norm,peak,PR,R_rms,r50,r80,r90,Vmem_peak,Vmem_mean,k_star,k_star_L,crystallinity,M1,M2,M3,finite,peak_n_cells_half,peak_r_cells,peak_width_phys,artifact_1_2_cells,N,dx
6.7,15971.039922518692,4.073513017522395,19011.978797010976,16.009638029463442,15.75595125658873,19.254869513969705,20.93442141545832,6.450869354943396,1.8393652582003122,10.701049976290232,342.4335992412874,0.9999917346477437,0.7026970074818368,0.3400465359373699,0.016288945698453773,True,1175,6.546106788038556,3.273053394019278,False,64,0.5
6.8,16137.263858338623,4.755885253940322,19094.06423300614,16.006611878379193,15.732132722552274,19.254869513969705,20.93442141545832,6.35727298248736,1.8613474526239373,10.701049976290232,342.4335992412874,0.9999862753511738,0.7041281259164468,0.3451117381250922,0.01683331461038537,True,353,4.384250552313704,2.192125276156852,False,64,0.5
6.9,16299.944746493959,3.901227646036561,19081.47315620296,16.00258121573728,15.732132722552274,19.248376554920156,20.91650066335189,6.856116051067288,1.8830811663524278,10.701049976290232,342.4335992412874,0.9999841844119871,0.7009077856404945,0.34848654296180415,0.017306071211143068,True,1801,7.54759117203158,3.77379558601579,False,64,0.5
7.0,16460.224322000635,3.669293635040564,19073.31492226301,15.997438183521576,15.724185193516387,19.241881404893856,20.910523666326483,7.497081804484826,1.9044899140786042,10.701049976290232,342.4335992412874,0.999990787447729,0.7001690869193654,0.35193409353122557,0.017790617646767072,True,2901,8.847482382013732,4.423741191006866,False,64,0.5
7.1000000000000005,16621.3331594902,4.215858015343237,19104.2902393841,15.989759086742547,15.724185193516387,19.222382786741086,20.910523666326483,7.128115687211241,1.925538416440041,10.701049976290232,342.4335992412874,0.9999916058972166,0.6991293844018216,0.355944233447977,0.01831341756274648,True,1216,6.621377090805707,3.3106885454028534,False,64,0.5
7.2,16779.50325249416,3.9835077923699607,19154.89139678511,15.982621489442009,15.724185193516387,19.215878850575635,20.886598574205422,7.0838993413510005,1.9468602967085191,10.701049976290232,342.4335992412874,0.9999910922334487,0.6988987998257665,0.36033785291603154,0.018866898551352568,True,1887,7.665863766660526,3.832931883330263,False,64,0.5
7.3,16940.954384629324,3.795396663401904,19199.85602911224,15.973532947670257,15.724185193516387,19.209372712298546,20.862646045025066,6.562812623270424,1.9676523471134666,10.701049976290232,342.4335992412874,0.999989727709121,0.6983267080533517,0.36437384692718294,0.0194123192103993,True,2597,8.52696434039315,4.263482170196575,False,64,0.5
7.4,17092.46570027435,3.819583435565914,19235.68112258886,15.968119697676451,15.724185193516387,19.196353820452465,20.838665984174707,6.3001967153642715,1.9881889513980502,10.701049976290232,342.4335992412874,0.9999903692337716,0.6984808962847492,0.3685445030839321,0.019975953154298676,True,2658,8.593210605492622,4.296605302746311,False,64,0.5
7.5,17246.21904049444,4.038856246466308,19280.772748940253,15.961920677255062,15.724185193516387,19.196353820452465,20.83266665599966,6.510687061072126,2.0086850565163985,10.701049976290232,342.4335992412874,0.9999917480895162,0.6983209024174876,0.37272374312072504,0.020549948201741174,True,1849,7.614056595592697,3.8070282977963483,False,64,0.5
7.6000000000000005,17408.34707124673,3.6121426792082447,19363.004738476866,15.957021015391723,15.700318468107582,19.20286436967152,20.81465829649865,6.341211794937075,2.0292261579055246,10.701049976290232,342.4335992412874,0.9999928695187406,0.6991066181689484,0.37714918376612305,0.02114910755799428,True,3896,9.76135512427311,4.880677562136555,False,64,0.5
7.7,17566.051955954525,3.7774550240967826,19400.631219436553,15.954706093339569,15.700318468107582,19.20286436967152,20.820662813657012,6.986186250207891,2.050000418291707,10.701049976290232,342.4335992412874,0.999993321721963,0.6985566550933988,0.3808389101694785,0.021716575685876007,True,3154,9.097548088630454,4.548774044315227,False,64,0.5
7.8,17706.459068898443,4.021851602195459,19432.33163686667,15.955266159151893,15.684387141358123,19.20286436967152,20.850659461993043,6.425519087356374,2.0700263811481108,10.701049976290232,342.4335992412874,0.9999902126451586,0.6986821805459719,0.3850563323031666,0.022325072476796617,True,2157,8.015313472521896,4.007656736260948,False,64,0.5
7.9,17865.17918332347,3.6998176712548094,19492.835329615154,15.956098191594704,15.660459763365825,19.189841062395487,20.868636754709208,6.457075548247345,2.0899287137673417,10.701049976290232,342.4335992412874,0.9999903299792308,0.6987188973006809,0.3889418303745239,0.02292545775838455,True,3780,9.663498795226714,4.831749397613357,False,64,0.5
8.0,18009.78532658203,3.6739530197310657,19548.53408883028,15.95841104105759,15.660459763365825,19.196353820452465,20.886598574205422,6.664638112265338,2.1097595977442056,10.701049976290232,342.4335992412874,0.9999932167361612,0.6992101360848733,0.3932446506316136,0.023562001165449646,True,4014,9.858925532876208,4.929462766438104,False,64,0.5
