t,R_rms,norm,peak_density,participation,Vmem_mean,Vmem_peak,memory_density_overlap
10.0,11.20916516666596,1.4216062214495877,0.0019253066612347023,3926.603319807332,0.00017507300805574824,0.02330840842861877,0.9349774336050383
10.1,11.260838396221466,1.426134458584627,0.0017983551127022813,4108.394823314153,0.0001756142715498729,0.02164155078983894,0.9345092113176626
10.200000000000001,11.315054807944504,1.431234354944484,0.0020079268485158393,4302.579877944792,0.00017621388587237734,0.020379730472529837,0.9332711239799539
10.3,11.36852725215754,1.4344951930900598,0.0017203780086728732,4509.429061746611,0.00017676755172102546,0.01955963928596189,0.9332423268307263
10.4,11.424326364804621,1.4374970816395716,0.0017417170875818322,4710.60189692537,0.00017724817841216264,0.01920991010447623,0.9325057347514004
10.5,11.48212650191044,1.441076982259566,0.0016006278713059246,4919.843282864826,0.00017774571416551805,0.019222405115638743,0.9319543690017931
10.6,11.537038778688308,1.444068221343333,0.0015837516012012246,5128.854268198556,0.0001782079051041291,0.019124304003211013,0.9314588308655677
10.700000000000001,11.589424286233397,1.4468956831267519,0.0015791103103354582,5346.017194235733,0.000178674232083489,0.018578301509689754,0.9307628848227653
10.8,11.643341604915664,1.4505368708037816,0.0015118938103334506,5557.716657474509,0.00017913417571331348,0.017532834099357762,0.9303372243964134
10.9,11.699052684226759,1.4540321481508658,0.001718707079394754,5795.565360177077,0.00017958672837154932,0.016534473735745896,0.9299419938908681
11.0,11.751313871080223,1.457156898452367,0.0014782943422430586,6013.975141464076,0.0001800572190113397,0.01613770997170677,0.9286940662216797
11.1,11.804214897563343,1.4614476097991345,0.0015895697954060356,6217.529451964965,0.00018054421316915454,0.015979513229969777,0.9277110761051968
11.200000000000001,11.856089866548702,1.464920407364447,0.0012795838636099391,6466.493117052496,0.0001810617144115543,0.015572062168370523,0.9285299322119553
11.3,11.910752167732092,1.4678008066363668,0.0012722504016424501,6704.897605797462,0.00018152839790883156,0.014866248209621291,0.9270522936338206
11.4,11.959416635598844,1.4719126263020275,0.001466255003489111,6927.4208703272025,0.00018200626529328516,0.014058813886524002,0.9269833154092704
11.5,12.008242979066402,1.4754673503780034,0.0012294721714960874,7163.98242632626,0.00018251654457596367,0.013596019078506182,0.9262621677408979
11.6,12.0588491436094,1.4785899905433932,0.0011732150861052347,7370.60308324373,0.00018297874244930091,0.01341036245579339,0.9253756967470077
11.700000000000001,12.10945664828411,1.4825486146987603,0.001177534944008106,7580.848563702413,0.0001834610746214905,0.012938793263435678,0.9250940658730717
11.8,12.163703975789431,1.4857810516908825,0.00120486702347685,7809.251333504125,0.00018394152643638273,0.012365220568232388,0.9243203491138722
11.9,12.217534005192906,1.4890379773358347,0.0011063064327458663,8060.89100667336,0.00018439410757519322,0.012238924570386264,0.9241545304128668
12.0,12.272370827833353,1.4916615989981103,0.0011101644558906435,8306.607863865762,0.0001848325007327615,0.012261329442448617,0.9231778508412736
