snap,t,x,Re_psi
t002,0.02,-11.5,-0.059885924247441887
t002,0.02,-11.0,-0.017389712008199915
t002,0.02,-10.5,0.027526646904349826
t002,0.02,-10.0,0.01408283403069566
t002,0.02,-9.5,0.01709213284283177
t002,0.02,-9.0,0.006787832092194326
t002,0.02,-8.5,0.011410412321719177
t002,0.02,-8.0,-0.023525349129658202
t002,0.02,-7.5,0.029024039089201446
t002,0.02,-7.0,0.030460684311061928
t002,0.02,-6.5,0.0073802437126113465
t002,0.02,-6.0,-0.011339805255752677
t002,0.02,-5.5,-0.05283375586600821
t002,0.02,-5.0,0.0023693003948883837
t002,0.02,-4.5,0.03934990799017542
t002,0.02,-4.0,0.021076023833803338
t002,0.02,-3.5,0.01768094248105798
t002,0.02,-3.0,0.030305398009970397
t002,0.02,-2.5,0.0961535460032255
t002,0.02,-2.0,0.12377874091285482
t002,0.02,-1.5,0.14030166404727712
t002,0.02,-1.0,0.1154467897191734
t002,0.02,-0.5,0.08655723130654316
t002,0.02,0.0,-0.017798544305587638
t002,0.02,0.5,0.051891025988010125
t002,0.02,1.0,0.14697436009383633
t002,0.02,1.5,0.15423212182532847
t002,0.02,2.0,0.13439403840005673
t002,0.02,2.5,0.08438223747276045
t002,0.02,3.0,0.04955947556641041
t002,0.02,3.5,0.06297324614430211
t002,0.02,4.0,0.010261168926725697
t002,0.02,4.5,0.0206816300196701
t002,0.02,5.0,-0.02383168579915297
t002,0.02,5.5,0.01824389514261792
t002,0.02,6.0,0.017015166877026654
t002,0.02,6.5,-0.008165308374470975
t002,0.02,7.0,-0.02176070137882354
t002,0.02,7.5,0.07011342258276189
t002,0.02,8.0,0.020837951965642407
t002,0.02,8.5,0.01359369053540322
t002,0.02,9.0,-0.021594435521489153
t002,0.02,9.5,0.0012302555995625931
t002,0.02,10.0,-0.016753193319065884
t002,0.02,10.5,0.0013549605872918702
t002,0.02,11.0,-0.05121602158191426
t002,0.02,11.5,0.018854639046112138
t002,0.02,12.0,0.0013992573614355231
t002,0.02,12.5,0.00452177330944177
t002,0.02,13.0,-0.01152705542896164
t002,0.02,13.5,0.05978951681281354
t002,0.02,14.0,-0.017100241889327496
t002,0.02,14.5,3.514528902848202e-05
t002,0.02,15.0,-0.040911116930022765
t002,0.02,15.5,-0.038457321386869775
early,0.1,-16.0,-0.08314617321066958
early,0.1,-15.5,0.11644192054789702
early,0.1,-15.0,-0.030110919853696752
early,0.1,-14.5,0.08066399185107895
early,0.1,-14.0,-0.004508071350668167
early,0.1,-13.5,0.0069870024313806595
early,0.1,-13.0,0.06755996695856015
early,0.1,-12.5,0.038557471716207485
early,0.1,-12.0,-0.019087162057057457
early,0.1,-11.5,0.027466970685456747
early,0.1,-11.0,0.025288407326791884
early,0.1,-10.5,0.03311137257733327
early,0.1,-10.0,-0.036454519642578384
early,0.1,-9.5,-0.05332347455697343
early,0.1,-9.0,-0.11643700069037502
early,0.1,-8.5,-0.02544807086955888
early,0.1,-8.0,0.07565522679730334
early,0.1,-7.5,-0.021059572492566486
early,0.1,-7.0,0.012723357323064857
early,0.1,-6.5,0.08467768835238029
early,0.1,-6.0,-0.05108344113612371
early,0.1,-5.5,0.02585329739136621
early,0.1,-5.0,0.056274716303694475
early,0.1,-4.5,-0.16283032549875648
early,0.1,-4.0,-0.03738668335801086
early,0.1,-3.5,0.05268349592717967
early,0.1,-3.0,0.041922497005738885
early,0.1,-2.5,0.0794533969673928
early,0.1,-2.0,0.10636615176164704
early,0.1,-1.5,-0.00668452928697142
early,0.1,-1.0,0.1457338398862703
early,0.1,-0.5,0.09183193572880508
early,0.1,0.0,0.15754689051909881
early,0.1,0.5,0.1407151402187447
early,0.1,1.0,0.1928626364462685
early,0.1,1.5,0.010838527218899822
early,0.1,2.0,0.06543883807261401
early,0.1,2.5,0.1688053990024454
early,0.1,3.0,0.2040201338588279
early,0.1,3.5,0.08368500884116498
early,0.1,4.0,-0.025034760777478637
early,0.1,4.5,-0.1207641395081914
early,0.1,5.0,-0.013772652518817555
early,0.1,5.5,-0.0061158459522283794
early,0.1,6.0,0.02686822482961782
early,0.1,6.5,0.08915917462006101
early,0.1,7.0,0.02909549057490954
early,0.1,7.5,-0.09861680064323392
early,0.1,8.0,0.11823099660534538
early,0.1,8.5,0.03096029406613203
early,0.1,9.0,-0.12779593333013656
early,0.1,9.5,-0.022343939407763122
early,0.1,10.0,0.1193320238122774
early,0.1,10.5,0.02497544402971655
early,0.1,11.0,0.05838920910653256
early,0.1,11.5,-0.04231041743143042
early,0.1,12.0,0.12285425270755244
early,0.1,12.5,-0.09795672511326659
early,0.1,13.0,0.01188252166809078
early,0.1,13.5,-0.02975859540427496
early,0.1,14.0,-0.0406241939454387
early,0.1,14.5,0.06019737897039198
early,0.1,15.0,-0.05779444056128569
early,0.1,15.5,-0.00040538242283157805
mid,4.0,-16.0,-0.11377757738656033
mid,4.0,-15.5,-0.12893320076239387
mid,4.0,-15.0,0.34368567102474157
mid,4.0,-14.5,0.519026631208867
mid,4.0,-14.0,0.16209056258112703
mid,4.0,-13.5,-0.10595137216603669
mid,4.0,-13.0,-0.23453422316585737
mid,4.0,-12.5,-0.010685722741224507
mid,4.0,-12.0,0.21971355211216376
mid,4.0,-11.5,0.09248772800540822
mid,4.0,-11.0,-0.22148598084913887
mid,4.0,-10.5,0.29208129374732555
mid,4.0,-10.0,-0.49880115397409797
mid,4.0,-9.5,-0.14437140534460757
mid,4.0,-9.0,0.740620973929736
mid,4.0,-8.5,0.28979823556402795
mid,4.0,-8.0,0.15942060383958087
mid,4.0,-7.5,0.525059973839287
mid,4.0,-7.0,0.17364598669875309
mid,4.0,-6.5,0.10096276445601834
mid,4.0,-6.0,-0.6030689939004461
mid,4.0,-5.5,-0.10465064372741484
mid,4.0,-5.0,0.20073131638781527
mid,4.0,-4.5,-0.6690837978468137
mid,4.0,-4.0,0.6095884653141329
mid,4.0,-3.5,-0.3894675763652381
mid,4.0,-3.0,-0.057894208411473885
mid,4.0,-2.5,-0.5721263470414646
mid,4.0,-2.0,0.09627910674227969
mid,4.0,-1.5,0.20458935449434384
mid,4.0,-1.0,0.338683062339596
mid,4.0,-0.5,0.07241164514913107
mid,4.0,0.0,-0.06764601084120866
