t,planted,norm,peak,PR,R_rms,mass_p,peak_p,d_p,mass_m,peak_m,d_m,peak_in_p,peak_in_m
0.8150000000000001,True,2570.808837890625,4.651431560516357,16267.464494710954,16.005727268415278,21.466318130493164,4.651431560516357,0.09236650163406432,21.57593536376953,2.9591867923736572,0.06044525448123453,True,False
0.8200000000000001,True,2585.9931640625,4.691098213195801,16267.521256026694,16.00578200072511,21.56778335571289,4.691098213195801,0.0942827147605012,21.688404083251953,2.8011422157287598,0.0609499731948217,True,False
0.8250000000000001,True,2601.230712890625,4.6802825927734375,16264.940106292841,16.006088739207947,21.63648223876953,4.6802825927734375,0.09158181771223076,21.799968719482422,2.6062729358673096,0.060857927042075884,True,False
0.8300000000000001,True,2615.824462890625,4.714413166046143,16258.930178669154,16.005461379548628,21.809467315673828,4.714413166046143,0.09530727870247649,21.936859130859375,2.485442638397217,0.05892541807111021,True,False
0.835,True,2631.13330078125,4.791755199432373,16249.960271747566,16.005306399424995,21.924911499023438,4.791755199432373,0.08541971287368366,22.101917266845703,2.319974899291992,0.059882592629407684,True,False
0.84,True,2646.3662109375,4.600366115570068,16256.318649274035,16.006208322399665,22.09471893310547,4.600366115570068,0.08286860032490967,22.086101531982422,2.1879265308380127,0.05226114918787157,True,False
0.845,True,2661.20556640625,4.596770763397217,16260.215450918216,16.00857928934117,22.202638626098633,4.596770763397217,0.0763915747403273,22.171913146972656,1.9665329456329346,0.05082105591448323,True,False
0.85,True,2676.33642578125,4.430322647094727,16276.170505293023,16.0079731441823,22.27789306640625,4.430322647094727,0.07677931174959689,22.235694885253906,1.7202210426330566,0.04920431858149108,True,False
0.855,True,2691.94677734375,4.398931503295898,16283.498981514025,16.006471438563626,22.3870792388916,4.398931503295898,0.07527889524015735,22.469005584716797,1.539402723312378,0.04064173180606489,True,False
0.86,True,2706.69091796875,4.362346172332764,16294.066130426227,16.0052016537971,22.533206939697266,4.362346172332764,0.07557308576719071,22.61676025390625,1.3593083620071411,0.0333636715824474,True,False
0.865,True,2721.995849609375,4.291365146636963,16311.83967461096,16.005261069468965,22.664867401123047,4.291365146636963,0.0707376022322741,22.732906341552734,1.1993718147277832,0.031111908586459642,True,False
0.87,True,2737.074462890625,4.2295145988464355,16329.56167024795,16.005680757748664,22.770217895507812,4.2295145988464355,0.06846124292219959,22.831884384155273,1.2512472867965698,0.027534108425105154,True,False
0.875,True,2752.210205078125,4.18438720703125,16334.597250956067,16.005389184789653,22.969215393066406,4.18438720703125,0.07187582870203504,22.981765747070312,1.2507128715515137,0.03195631111292787,True,False
0.88,True,2766.79345703125,4.165237903594971,16346.777962468335,16.00560288278784,23.12517738342285,4.165237903594971,0.06547163909372827,23.139392852783203,1.3001259565353394,0.029581124986731638,True,False
0.885,True,2782.25439453125,4.19381046295166,16353.623800895903,16.004106376068755,23.28478240966797,4.19381046295166,0.06527265732379423,23.311119079589844,1.3164130449295044,0.031103135994407748,True,False
0.89,True,2797.336669921875,4.018854141235352,16359.252234876576,16.00438019284325,23.391036987304688,4.018854141235352,0.0682513574388852,23.494281768798828,1.3348239660263062,0.035589830592134115,True,False
0.895,True,2811.46533203125,3.952460289001465,16364.757765090706,16.004089983206125,23.631607055664062,3.952460289001465,0.06650860739116563,23.556442260742188,1.2763017416000366,0.0347650210777722,True,False
0.9,True,2826.913818359375,3.888582229614258,16374.136795614957,16.004160097851113,23.774913787841797,3.888582229614258,0.061378810591140115,23.636770248413086,1.196908712387085,0.03609342088048365,True,False
0.905,True,2843.10791015625,3.826158285140991,16382.315995576395,16.004682691605193,23.905437469482422,3.826158285140991,0.054720583791960285,23.691509246826172,1.1515470743179321,0.03286842923655934,True,False
0.91,True,2858.57861328125,3.717014789581299,16381.916419721418,16.00521951882149,24.04496192932129,3.717014789581299,0.05422742264794025,23.75084686279297,1.06893789768219,0.03753713801350255,True,False
0.915,True,2872.165283203125,3.6897871494293213,16383.23422356409,16.00401585553808,24.149940490722656,3.6897871494293213,0.05084038616350467,23.789257049560547,0.9877710938453674,0.04296631204308893,True,False
0.92,True,2888.08251953125,3.583050489425659,16391.83948861971,16.0040162336838,24.316421508789062,3.583050489425659,0.05675103626878696,23.82534408569336,0.9583709239959717,0.04107660612152237,True,False
0.925,True,2903.661376953125,3.5033702850341797,16398.821700086824,16.004106680539795,24.40256690979004,3.5033702850341797,0.059380160762475195,23.948902130126953,0.9024598002433777,0.041114894568884945,True,False
0.93,True,2918.114013671875,3.484510898590088,16394.545546061763,16.00417346356787,24.571697235107422,3.484510898590088,0.056357637186963676,23.97169303894043,0.8539995551109314,0.04149206714841085,True,False
0.935,True,2933.219970703125,3.518113613128662,16391.499430021504,16.004035853192505,24.7939453125,3.518113613128662,0.05539878624852741,24.083030700683594,0.8480793833732605,0.04701232917524041,True,False
0.9400000000000001,True,2948.15380859375,3.4932801723480225,16393.366212570865,16.004225862606305,24.83319091796875,3.4932801723480225,0.05643406623304156,24.320037841796875,0.882025957107544,0.054805872020151775,True,False
0.9450000000000001,True,2962.478515625,3.3447020053863525,16396.883840922732,16.004770906067662,24.978290557861328,3.3447020053863525,0.04648530139015937,24.433631896972656,0.9126103520393372,0.05591377898590231,True,False
0.9500000000000001,True,2977.4765625,3.2894508838653564,16388.73188697441,16.003975428003027,25.09554672241211,3.2894508838653564,0.05279400796973455,24.53192901611328,0.9357565641403198,0.04833298676862616,True,False
0.9550000000000001,True,2993.035400390625,3.2167224884033203,16387.517612279957,16.003000557839478,25.244781494140625,3.2167224884033203,0.05222210485114083,24.63222885131836,0.9982870817184448,0.049066542849058516,True,False
0.96,True,3008.14208984375,3.1828420162200928,16387.599966749516,16.003058558229032,25.41268539428711,3.1828420162200928,0.04546598885849111,24.763824462890625,1.059746503829956,0.05318291636323675,True,False
0.965,True,3023.263916015625,3.1109774112701416,16383.669652872004,16.002760741811542,25.541240692138672,3.1109774112701416,0.04317295817899588,24.963443756103516,1.0481754541397095,0.05928790807290323,True,False
0.97,True,3037.72607421875,3.1302807331085205,16383.294624428954,16.002476699130103,25.72534942626953,3.1302807331085205,0.0439019558656097,25.09513282775879,1.041769027709961,0.06263898317408681,True,False
