t,density_front_r,phase_front_r,response_norm
0.68,2.2222222222222223,2.2222222222222223,2.4670913659628473e-05
0.6900000000000001,2.2222222222222223,2.2222222222222223,2.5045072581654186e-05
0.7000000000000001,2.2222222222222223,2.2222222222222223,2.5423354510515386e-05
0.71,2.2222222222222223,2.2222222222222223,2.579517136595645e-05
0.72,2.2222222222222223,2.2222222222222223,2.6139105931245074e-05
0.73,2.2222222222222223,2.2222222222222223,2.6565875525107126e-05
0.74,2.2222222222222223,2.2222222222222223,2.7011566759563932e-05
0.75,2.2222222222222223,2.2222222222222223,2.7451126168954213e-05
0.76,2.2222222222222223,2.2222222222222223,2.7875554446845515e-05
0.77,2.2222222222222223,2.2222222222222223,2.84177359474027e-05
0.78,2.2222222222222223,2.2222222222222223,2.8731424505967795e-05
0.79,2.2222222222222223,2.2222222222222223,2.905150083752944e-05
0.8,2.2222222222222223,2.2222222222222223,2.9437001892401457e-05
0.81,2.2222222222222223,2.2222222222222223,2.979185645816022e-05
0.8200000000000001,2.2222222222222223,2.2222222222222223,3.010986543640599e-05
0.8300000000000001,2.2222222222222223,2.2222222222222223,3.0461116662186803e-05
0.84,2.2222222222222223,2.2222222222222223,3.083203693821603e-05
0.85,2.2222222222222223,2.2222222222222223,3.1067285898186336e-05
0.86,2.2222222222222223,2.2222222222222223,3.1333973669829855e-05
0.87,2.2222222222222223,2.2222222222222223,3.149359403815609e-05
0.88,2.2222222222222223,2.2222222222222223,3.1707529400746826e-05
0.89,2.2222222222222223,2.2222222222222223,3.1853142271907554e-05
0.9,2.2222222222222223,2.2222222222222223,3.1910653020933834e-05
0.91,2.2222222222222223,2.2222222222222223,3.2072386897042596e-05
0.92,2.2222222222222223,2.2222222222222223,3.220463871851824e-05
0.93,2.2222222222222223,2.2222222222222223,3.2238683176562155e-05
0.9400000000000001,2.2222222222222223,2.2222222222222223,3.233612262742636e-05
0.9500000000000001,2.2222222222222223,2.2222222222222223,3.244623763844994e-05
0.96,2.2222222222222223,2.2222222222222223,3.258553042189085e-05
0.97,2.2222222222222223,2.2222222222222223,3.268729160011205e-05
0.98,2.2222222222222223,2.2222222222222223,3.2808393890464125e-05
0.99,2.2222222222222223,2.2222222222222223,3.2941662835234374e-05
1.0,2.2222222222222223,2.2222222222222223,3.3035878621217236e-05
1.01,2.2222222222222223,2.2222222222222223,3.314019463803963e-05
1.02,2.2222222222222223,2.2222222222222223,3.323342631330353e-05
1.03,2.2222222222222223,2.2222222222222223,3.3397903975464923e-05
1.04,2.2222222222222223,2.2222222222222223,3.353574952776973e-05
1.05,2.2222222222222223,2.2222222222222223,3.361089554664362e-05
1.06,2.2222222222222223,2.2222222222222223,3.367919153958797e-05
1.07,2.2222222222222223,2.2222222222222223,3.3752059543505405e-05
1.08,2.2222222222222223,2.2222222222222223,3.381437524179863e-05
1.09,2.2222222222222223,2.2222222222222223,3.3868736548865866e-05
1.1,2.2222222222222223,2.2222222222222223,3.393443891929575e-05
1.11,2.2222222222222223,2.2222222222222223,3.400223417125488e-05
1.12,2.2222222222222223,2.2222222222222223,3.409610649290805e-05
1.1300000000000001,2.2222222222222223,2.2222222222222223,3.406582353793529e-05
1.1400000000000001,2.2222222222222223,2.2222222222222223,3.4049253706613225e-05
1.1500000000000001,2.2222222222222223,2.2222222222222223,3.4026954430772e-05
1.16,2.2222222222222223,2.2222222222222223,3.404697516764912e-05
1.17,2.2222222222222223,2.2222222222222223,3.405016421378602e-05
1.18,2.2222222222222223,2.2222222222222223,3.402035543032342e-05
1.19,2.2222222222222223,2.2222222222222223,3.398808699621925e-05
1.2,2.2222222222222223,2.2222222222222223,3.393978695791177e-05
1.21,2.2222222222222223,2.2222222222222223,3.3903782586031836e-05
1.22,2.2222222222222223,2.2222222222222223,3.385192798941437e-05
1.23,2.2222222222222223,2.2222222222222223,3.383497571946626e-05
1.24,2.2222222222222223,2.2222222222222223,3.3743335062473235e-05
1.25,2.2222222222222223,2.2222222222222223,3.370591084772997e-05
1.26,2.2222222222222223,2.2222222222222223,3.3631886389815215e-05
1.27,2.2222222222222223,2.2222222222222223,3.3595058473468444e-05
1.28,2.2222222222222223,2.2222222222222223,3.350900752095633e-05
1.29,2.2222222222222223,2.2222222222222223,3.344641301403021e-05
1.3,2.2222222222222223,2.2222222222222223,3.336687300297127e-05
1.31,2.2222222222222223,2.2222222222222223,3.3388128112214216e-05
1.32,2.2222222222222223,2.2222222222222223,3.340966645484065e-05
1.33,2.2222222222222223,2.2222222222222223,3.352308994678462e-05
1.34,2.2222222222222223,2.2222222222222223,3.355217428610587e-05
1.35,2.2222222222222223,2.2222222222222223,3.361827925828738e-05
1.36,2.2222222222222223,2.2222222222222223,3.370530358829856e-05
1.37,2.2222222222222223,2.2222222222222223,3.378510272728244e-05
1.3800000000000001,2.2222222222222223,2.2222222222222223,3.3871519711369394e-05
1.3900000000000001,2.2222222222222223,2.2222222222222223,3.401331699055887e-05
1.4000000000000001,2.2222222222222223,2.2222222222222223,3.409046614552277e-05
1.41,2.2222222222222223,2.2222222222222223,3.433819823719604e-05
1.42,2.2222222222222223,2.2222222222222223,3.457003948181079e-05
1.43,2.2222222222222223,2.2222222222222223,3.464114020312216e-05
1.44,2.2222222222222223,2.2222222222222223,3.4813474809047894e-05
1.45,2.2222222222222223,2.2222222222222223,3.49794004021417e-05
1.46,2.2222222222222223,2.2222222222222223,3.513455610689465e-05
1.47,2.2222222222222223,2.2222222222222223,3.5291722657442816e-05
1.48,2.2222222222222223,2.2222222222222223,3.5490780982370145e-05
1.49,2.2222222222222223,2.2222222222222223,3.560368836839418e-05
1.5,2.2222222222222223,2.2222222222222223,3.5757324225085084e-05
1.51,2.2222222222222223,2.2222222222222223,3.57961430678763e-05
1.52,2.2222222222222223,2.2222222222222223,3.596827101097926e-05
1.53,2.2222222222222223,2.2222222222222223,3.60696657601545e-05
1.54,2.2222222222222223,2.2222222222222223,3.621304136294668e-05
1.55,2.2222222222222223,2.2222222222222223,3.6253632190692984e-05
1.56,2.2222222222222223,2.2222222222222223,3.631476308325342e-05
1.57,2.2222222222222223,2.2222222222222223,3.638054202427781e-05
1.58,2.2222222222222223,2.2222222222222223,3.640729741800571e-05
1.59,2.2222222222222223,2.2222222222222223,3.6339121015942295e-05
1.6,2.2222222222222223,2.2222222222222223,3.638136155222545e-05
1.61,2.2222222222222223,2.2222222222222223,3.635713934616227e-05
1.62,2.2222222222222223,2.2222222222222223,3.638093080059087e-05
1.6300000000000001,2.2222222222222223,2.2222222222222223,3.6354607956088045e-05
1.6400000000000001,2.2222222222222223,2.2222222222222223,3.6358696445192715e-05
1.6500000000000001,2.2222222222222223,2.2222222222222223,3.628586657146331e-05
1.6600000000000001,2.2222222222222223,2.2222222222222223,3.62173580338649e-05
1.67,2.2222222222222223,2.2222222222222223,3.611591031090036e-05
1.68,2.2222222222222223,2.2222222222222223,3.6014619984270084e-05
1.69,2.2222222222222223,2.2222222222222223,3.5977095972989e-05
1.7,2.2222222222222223,2.2222222222222223,3.589903322418022e-05
1.71,2.2222222222222223,2.2222222222222223,3.583431007223878e-05
1.72,2.2222222222222223,2.2222222222222223,3.577028159212534e-05
1.73,2.2222222222222223,2.2222222222222223,3.570353747515953e-05
1.74,2.2222222222222223,2.2222222222222223,3.561879510707584e-05
1.75,2.2222222222222223,2.2222222222222223,3.556659069094507e-05
1.76,2.2222222222222223,2.2222222222222223,3.557007085222197e-05
1.77,2.2222222222222223,2.2222222222222223,3.554088564853385e-05
1.78,2.2222222222222223,2.2222222222222223,3.552545989191676e-05
1.79,2.2222222222222223,2.2222222222222223,3.550354105470134e-05
1.8,2.2222222222222223,2.2222222222222223,3.5455450592134926e-05
