t,norm,peak,PR,R_rms,r50,r80,r90,Vmem_peak,Vmem_mean,k_star,k_star_L,crystallinity,M1,M2,M3,finite,peak_n_cells_half,peak_r_cells,peak_width_phys,artifact_1_2_cells,seed,N,dx,backend
3.6,9887.5986328125,2.7373738288879395,17612.12997859189,16.00635306822711,15.748015748023622,19.241881404893856,20.89258241577618,5.545735889673233,1.0607835264106371,10.701049976290232,342.4335992412874,0.9999859929084778,0.716771166768264,0.17821777627654176,0.004524728502050859,True,1558,7.191612545324457,3.5958062726622284,False,25,64,0.5,mlx
3.7,10111.6181640625,2.8862531185150146,17638.078241146333,16.011471380887766,15.748015748023622,19.248376554920156,20.89258241577618,5.828377187997103,1.0888321568270425,10.701049976290232,342.4335992412874,0.9999847412109375,0.7184510744452401,0.1840622903135759,0.004780707668675276,True,1272,6.721499448528673,3.3607497242643367,False,25,64,0.5,mlx
3.8000000000000003,10334.0732421875,3.019427537918091,17729.907825755807,16.01233140530201,15.732132722552274,19.241881404893856,20.89258241577618,6.093248102068901,1.1166189258693326,10.30835089459151,329.8672286269283,0.9999869465827942,0.719397187595302,0.1905129534594413,0.005061698125160813,True,1102,6.4076334773969625,3.2038167386984813,False,25,64,0.5,mlx
3.9,10553.046875,2.970472812652588,17746.332609863784,16.012618444475994,15.748015748023622,19.241881404893856,20.89258241577618,6.947018255665898,1.1438965178038494,10.701049976290232,342.4335992412874,0.9999876022338867,0.7172425426705554,0.1961443646793838,0.005330158812258271,True,1297,6.765249049370692,3.382624524685346,False,25,64,0.5,mlx
4.0,10777.6552734375,3.097477912902832,17831.182757384788,16.013593108196673,15.763882770434446,19.241881404893856,20.898564544006366,6.410982476174832,1.171290928636844,10.30835089459151,329.8672286269283,0.999987781047821,0.7185799712127156,0.20219593177789852,0.005619050995153623,True,1174,6.544249209395111,3.2721246046975554,False,25,64,0.5,mlx
4.1,10990.59765625,2.9179842472076416,17919.903102722317,16.011996033614707,15.763882770434446,19.241881404893856,20.898564544006366,5.863073935359717,1.1986062535728101,10.30835089459151,329.8672286269283,0.9999898672103882,0.7204351664641316,0.20863568720239078,0.0059280621034774605,True,1767,7.499793633818487,3.7498968169092435,False,25,64,0.5,mlx
4.2,11209.111328125,2.8917651176452637,17966.01375378496,16.014992533888776,15.763882770434446,19.241881404893856,20.904544960366874,5.823077778890729,1.2257651180873768,10.30835089459151,329.8672286269283,0.9999890923500061,0.7199134400433219,0.2142559310983415,0.006223132745386683,True,1993,7.806797178068406,3.903398589034203,False,25,64,0.5,mlx
4.3,11427.80859375,2.9024927616119385,17993.111183672485,16.01355504380493,15.763882770434446,19.235384061671343,20.898564544006366,5.980516035482287,1.2527387907427485,10.30835089459151,329.8672286269283,0.9999855756759644,0.7187435332399205,0.21953225932754036,0.006516865381766569,True,2144,7.999178545777086,3.999589272888543,False,25,64,0.5,mlx
4.4,11639.1416015625,3.338481903076172,18062.968421848374,16.017187886614483,15.771810295587505,19.241881404893856,20.89258241577618,6.372620386630297,1.2795316538625987,10.30835089459151,329.8672286269283,0.9999925494194031,0.7191525876156435,0.22550101890010874,0.006840244377331588,True,966,6.132386313620396,3.066193156810198,False,25,64,0.5,mlx
4.5,11841.28125,2.989945888519287,18129.368183713028,16.016390171097125,15.771810295587505,19.235384061671343,20.89258241577618,6.077310319244861,1.3061002722090616,10.30835089459151,329.8672286269283,0.9999940395355225,0.72057468308735,0.23166592348792273,0.007179566648454947,True,2080,7.918779349930548,3.959389674965274,False,25,64,0.5,mlx
4.6000000000000005,12056.111328125,3.174499034881592,18190.339675384756,16.014829117659815,15.763882770434446,19.222382786741086,20.89258241577618,6.194130012392998,1.3322828799874502,10.30835089459151,329.8672286269283,0.9999945163726807,0.719453728410476,0.237119187139701,0.007507116361364155,True,1610,7.270747939820962,3.635373969910481,False,25,64,0.5,mlx
4.7,12255.173828125,2.826573371887207,18214.919376908856,16.011816136993108,15.763882770434446,19.235384061671343,20.89258241577618,5.99640142172575,1.3581877918145913,10.30835089459151,329.8672286269283,0.9999917149543762,0.7181775964319118,0.2425752571065612,0.007844558560058763,True,3468,9.389954614917926,4.694977307458963,False,25,64,0.5,mlx
4.8,12456.4658203125,3.267066240310669,18321.22227415972,16.01112726462287,15.75595125658873,19.241881404893856,20.904544960366874,6.482279681414366,1.3840253210311944,10.50470043544087,336.15041393410786,0.9999908208847046,0.7205024077760986,0.24891292039798357,0.008220610683325958,True,1463,7.042365678302303,3.5211828391511517,False,25,64,0.5,mlx
4.9,12657.6298828125,3.433152437210083,18348.297334104693,16.009809424677552,15.748015748023622,19.235384061671343,20.89258241577618,6.6942300699651245,1.4094513485208084,10.50470043544087,336.15041393410786,0.9999921321868896,0.7189729184381407,0.25405953897294975,0.008567633020059003,True,1184,6.562777760167609,3.2813888800838047,False,25,64,0.5,mlx
5.0,12855.513671875,3.3369321823120117,18404.33382151015,16.009527764272875,15.732132722552274,19.235384061671343,20.89258241577618,6.076141826808453,1.4349130507899046,10.50470043544087,336.15041393410786,0.9999924898147583,0.7192051721190349,0.2596148533987707,0.008938062191875542,True,1463,7.042365678302303,3.5211828391511517,False,25,64,0.5,mlx
5.1000000000000005,13055.90625,3.3620269298553467,18395.001437053103,16.007830212946267,15.732132722552274,19.241881404893856,20.910523666326483,6.4484690494835375,1.4602737118362326,10.50470043544087,336.15041393410786,0.9999932646751404,0.7161326915564067,0.26399211370213693,0.009277646891150184,True,1619,7.284270750778599,3.6421353753892993,False,25,64,0.5,mlx
5.2,13241.87109375,3.4622511863708496,18462.952567857184,16.010331741118787,15.732132722552274,19.241881404893856,20.910523666326483,5.8430406548082825,1.4850896346348257,10.50470043544087,336.15041393410786,0.9999907612800598,0.7175638551360042,0.26991205404282104,0.009681542942611738,True,1373,6.894889482610799,3.4474447413053997,False,25,64,0.5,mlx
5.3,13435.220703125,3.3527228832244873,18512.474076734245,16.00367584516977,15.732132722552274,19.235384061671343,20.910523666326483,6.480605544522405,1.5097608364081738,10.701049976290232,342.4335992412874,0.9999912977218628,0.716663785526165,0.2751476242309058,0.01007125583355835,True,1865,7.6359558543402954,3.8179779271701477,False,25,64,0.5,mlx
5.4,13631.57421875,3.185115098953247,18594.37479156182,16.002558373986023,15.732132722552274,19.241881404893856,20.910523666326483,6.356819558888674,1.5344931366610595,10.701049976290232,342.4335992412874,0.9999889731407166,0.7164338536182563,0.2806011330794206,0.010479808930268465,True,2678,8.61470984597244,4.30735492298622,False,25,64,0.5,mlx
5.5,13816.349609375,3.339935302734375,18584.33646485497,15.996457558962444,15.732132722552274,19.235384061671343,20.89258241577618,6.210857751965523,1.559107773988612,10.701049976290232,342.4335992412874,0.999992311000824,0.7147059265342569,0.2850228519186922,0.010859585157481056,True,2167,8.027680894500687,4.0138404472503435,False,25,64,0.5,mlx
5.6000000000000005,14002.560546875,3.411801815032959,18642.29315533208,15.9949547068771,15.732132722552274,19.241881404893856,20.89258241577618,6.22012047842145,1.583159217253038,10.701049976290232,342.4335992412874,0.9999926090240479,0.7149613147488634,0.29027615237740106,0.011281264345409228,True,2033,7.858679725228271,3.9293398626141354,False,25,64,0.5,mlx
