t,norm,peak,PR,R_rms,finite,seed,member,backend
3.88,10532.158203125,3.073474168777466,17765.84129625294,16.01033243692509,True,0,B,mlx
3.9,10579.7578125,3.043048620223999,17766.433978716188,16.00941239907439,True,0,B,mlx
3.92,10619.640625,2.770468235015869,17754.49332577288,16.011200913064133,True,0,B,mlx
3.94,10660.890625,3.030606269836426,17766.40886224489,16.011688510286948,True,0,B,mlx
3.96,10699.2275390625,3.004260301589966,17793.80451682189,16.013526186407752,True,0,B,mlx
3.98,10743.65234375,2.955146074295044,17820.909507009572,16.01356114692347,True,0,B,mlx
4.0,10784.30859375,3.128349781036377,17833.129159847645,16.014771066262817,True,0,B,mlx
4.0200000000000005,10828.833984375,2.8816473484039307,17840.331530335337,16.014467244920503,True,0,B,mlx
4.04,10874.30859375,2.7172176837921143,17841.368597077544,16.013723926959514,True,0,B,mlx
4.0600000000000005,10920.2705078125,2.997227907180786,17863.53068456535,16.01562498560455,True,0,B,mlx
4.08,10963.82421875,2.9131226539611816,17902.02696256731,16.017678864253156,True,0,B,mlx
4.1,11007.12109375,2.924529790878296,17929.244891414004,16.017949145597633,True,0,B,mlx
4.12,11052.330078125,3.009416341781616,17940.88600383692,16.017898477850764,True,0,B,mlx
4.14,11096.103515625,2.8326056003570557,17956.116582145904,16.017338278010044,True,0,B,mlx
4.16,11137.470703125,2.9968113899230957,17951.75646140613,16.01805371340963,True,0,B,mlx
4.18,11182.626953125,2.918586254119873,17960.52489576516,16.016790664298128,True,0,B,mlx
4.2,11226.4072265625,3.0850133895874023,17985.563340288416,16.016936117615103,True,0,B,mlx
4.22,11270.9443359375,2.9686079025268555,18031.059708231936,16.01716832092445,True,0,B,mlx
4.24,11315.1318359375,3.0003278255462646,18048.01932479816,16.01821942472796,True,0,B,mlx
4.26,11357.2421875,3.0988857746124268,18017.007495646056,16.017841101079792,True,0,B,mlx
4.28,11398.015625,3.063304901123047,17985.167566312277,16.017501422274503,True,0,B,mlx
4.3,11440.802734375,3.3532440662384033,17996.956105591613,16.018365074039412,True,0,B,mlx
4.32,11483.693359375,3.080850601196289,18027.39070805722,16.020804579945015,True,0,B,mlx
4.34,11519.484375,3.2641677856445312,18042.511174853375,16.018661780544726,True,0,B,mlx
4.36,11563.546875,3.785332679748535,18048.37262841649,16.01721345322332,True,0,B,mlx
4.38,11605.712890625,3.1672379970550537,18061.80663914154,16.017144206758196,True,0,B,mlx
4.4,11649.2734375,2.8508174419403076,18091.03395445447,16.017247882882124,True,0,B,mlx
4.42,11689.341796875,2.772705554962158,18113.736082389085,16.017863629408524,True,0,B,mlx
4.44,11732.34375,3.094183921813965,18112.091593049165,16.01839793598739,True,0,B,mlx
4.46,11775.2734375,2.9863438606262207,18098.14731356726,16.018146057640347,True,0,B,mlx
4.48,11818.064453125,3.340214252471924,18092.033554734156,16.01697312097325,True,0,B,mlx
4.5,11858.73046875,3.152554512023926,18112.46881049285,16.016064510887333,True,0,B,mlx
4.5200000000000005,11901.244140625,3.2046358585357666,18127.049326078024,16.01597364017112,True,0,B,mlx
4.54,11942.1396484375,3.087324619293213,18154.44402760331,16.01605541985938,True,0,B,mlx
4.5600000000000005,11983.83203125,3.226874589920044,18178.520618654053,16.015346046649775,True,0,B,mlx
4.58,12020.767578125,3.2674174308776855,18187.276505179852,16.014955068580125,True,0,B,mlx
4.6000000000000005,12059.3671875,2.9549977779388428,18177.160860281612,16.01514627041504,True,0,B,mlx
4.62,12099.2001953125,2.9699299335479736,18173.77614509632,16.01582152370299,True,0,B,mlx
4.64,12140.84375,3.0662903785705566,18164.486194827266,16.015619621777454,True,0,B,mlx
4.66,12184.1318359375,3.0733776092529297,18154.93784518207,16.015435717291517,True,0,B,mlx
4.68,12224.2890625,2.855741262435913,18161.339935169075,16.01630004325518,True,0,B,mlx
4.7,12265.720703125,3.0695106983184814,18184.200272031085,16.018173149511018,True,0,B,mlx
4.72,12308.2353515625,2.9053213596343994,18204.70076763962,16.018621796741076,True,0,B,mlx
4.74,12345.115234375,3.16268253326416,18222.57474520283,16.020578529040794,True,0,B,mlx
4.76,12389.0078125,3.0944154262542725,18269.472806867987,16.019023567539694,True,0,B,mlx
4.78,12427.548828125,2.8634636402130127,18306.98559541009,16.018946230134322,True,0,B,mlx
4.8,12466.8046875,3.124342441558838,18313.6158238288,16.019934775570054,True,0,B,mlx
4.82,12507.830078125,3.3085238933563232,18282.981620819526,16.019380827587696,True,0,B,mlx
4.84,12548.4072265625,3.4621496200561523,18249.825471426077,16.019365136228828,True,0,B,mlx
4.86,12583.91796875,3.614609718322754,18271.164984521096,16.019152715123465,True,0,B,mlx
4.88,12621.51171875,3.2057371139526367,18326.98725168707,16.01964299351153,True,0,B,mlx
4.9,12664.0048828125,3.1743152141571045,18380.098312771606,16.01949827184525,True,0,B,mlx
4.92,12703.28515625,3.4934206008911133,18404.452164289734,16.01974566109022,True,0,B,mlx
4.94,12743.1015625,3.1245675086975098,18397.0123737199,16.020941174704976,True,0,B,mlx
4.96,12783.0966796875,3.1761512756347656,18382.292791600612,16.019773787798563,True,0,B,mlx
4.98,12824.7783203125,3.52848219871521,18384.971896809067,16.019635276806426,True,0,B,mlx
5.0,12862.666015625,3.219724178314209,18395.184656940746,16.020138726838344,True,0,B,mlx
5.0200000000000005,12901.8125,3.0999386310577393,18394.99973656944,16.019279913495478,True,0,B,mlx
5.04,12943.83984375,3.1041784286499023,18377.04402152896,16.019732215336337,True,0,B,mlx
5.0600000000000005,12983.8076171875,3.284447193145752,18370.59958557237,16.01877552624043,True,0,B,mlx
5.08,13024.376953125,3.6548972129821777,18383.62867515199,16.01757152540327,True,0,B,mlx
5.1000000000000005,13065.458984375,3.503453493118286,18407.706214512513,16.017095507283166,True,0,B,mlx
5.12,13104.6083984375,3.310387134552002,18434.34733116725,16.017207882585605,True,0,B,mlx
5.14,13145.373046875,3.5685625076293945,18467.52721968176,16.017105880386055,True,0,B,mlx
5.16,13187.134765625,3.4626517295837402,18495.171330730027,16.01758190990371,True,0,B,mlx
5.18,13225.7578125,3.668637990951538,18521.7132483653,16.017343694164595,True,0,B,mlx
5.2,13267.56640625,3.1221156120300293,18509.706213953203,16.017919531766566,True,0,B,mlx
5.22,13305.072265625,3.2916362285614014,18489.123967558393,16.017656417681756,True,0,B,mlx
5.24,13343.931640625,3.356501817703247,18485.651592509905,16.01670456659007,True,0,B,mlx
5.26,13381.763671875,3.291114091873169,18500.873525086994,16.01629774187733,True,0,B,mlx
5.28,13418.11328125,3.538084030151367,18522.361419258843,16.015963585409388,True,0,B,mlx
5.3,13455.5234375,3.3698887825012207,18527.342724892555,16.01455898739392,True,0,B,mlx
5.32,13491.8046875,3.158952474594116,18532.640932500955,16.016387439771798,True,0,B,mlx
5.34,13527.966796875,3.3228886127471924,18537.066502389556,16.016525657660665,True,0,B,mlx
5.36,13565.7998046875,3.323010206222534,18544.66209475697,16.01545984236129,True,0,B,mlx
5.38,13603.0625,3.2206029891967773,18558.14411887909,16.014534480640542,True,0,B,mlx
5.4,13639.15234375,3.2505075931549072,18571.772094495012,16.014525829930797,True,0,B,mlx
5.42,13674.84765625,3.440920352935791,18574.85986354592,16.01485345009332,True,0,B,mlx
5.44,13713.2294921875,3.634658098220825,18587.738939103925,16.015132193741454,True,0,B,mlx
5.46,13750.95703125,3.191678762435913,18617.2385226557,16.015494536787255,True,0,B,mlx
5.48,13790.5986328125,3.147498607635498,18647.975242407174,16.015679083378668,True,0,B,mlx
5.5,13824.6103515625,3.2533345222473145,18659.72728611174,16.014671623518,True,0,B,mlx
5.5200000000000005,13863.498046875,3.2002763748168945,18647.98772038776,16.01485242234056,True,0,B,mlx
5.54,13901.7060546875,3.325289011001587,18651.231534539147,16.015371843697782,True,0,B,mlx
5.5600000000000005,13942.2294921875,3.7412493228912354,18654.556639547707,16.01580717501885,True,0,B,mlx
5.58,13978.37109375,3.324561595916748,18657.404220578894,16.015884200266072,True,0,B,mlx
5.6000000000000005,14014.787109375,3.589402198791504,18647.257439445257,16.015359238960265,True,0,B,mlx
5.62,14051.4091796875,3.357089042663574,18646.12786943941,16.016703542362116,True,0,B,mlx
5.64,14087.455078125,3.8697283267974854,18659.1948802341,16.017703044638097,True,0,B,mlx
5.66,14125.005859375,3.4571917057037354,18664.303498588848,16.017641129226053,True,0,B,mlx
