t,planted,peak,glue_in,glue_out,res_in,res_out
0.9500000000000001,True,3.2887279987335205,0.8207462490236952,0.7212237042916395,0.04691731184720993,0.04468034207820892
0.9550000000000001,True,3.2156739234924316,0.8165278493070708,0.7214916047453781,0.04704737290740013,0.044933829456567764
0.96,True,3.1822822093963623,0.8145887350872923,0.721936573125843,0.047395672649145126,0.04514672979712486
0.965,True,3.1103227138519287,0.8087396335085739,0.7224016686676785,0.04769856482744217,0.04535125195980072
0.97,True,3.1292245388031006,0.8093838442257145,0.722626535600086,0.04792306572198868,0.045582178980112076
0.975,True,3.0946452617645264,0.8066460587065487,0.7228507222992892,0.04833175614476204,0.04578080773353577
0.98,True,3.043551206588745,0.804256453821337,0.7228476707944389,0.048145703971385956,0.046003494411706924
0.985,True,2.919102191925049,0.7963871200306321,0.7227267743579022,0.04862722009420395,0.04622305929660797
0.99,True,2.9220468997955322,0.7984615685934429,0.7225999352989996,0.048715025186538696,0.04645107686519623
0.995,True,2.7974143028259277,0.7892776844473577,0.7225487866090091,0.049067359417676926,0.04667092487215996
1.0,True,2.662649154663086,0.7772237912285545,0.7224010175127111,0.04963945224881172,0.0469067320227623
1.0050000000000001,True,2.574728012084961,0.7700760336609469,0.7221197206407953,0.05017843097448349,0.047120459377765656
1.01,True,2.4494359493255615,0.7613290982144738,0.7216032058794769,0.050313133746385574,0.04737281799316406
1.0150000000000001,True,2.3632330894470215,0.7560122885103395,0.7211294367119684,0.05064735561609268,0.04763687029480934
1.02,True,2.252837896347046,0.7449527204630966,0.7208054441671438,0.05100294575095177,0.04786727577447891
1.025,True,2.183307647705078,0.7390578802889912,0.7204466247373187,0.05134057253599167,0.04810817539691925
1.03,True,2.044954299926758,0.7292430440422594,0.7202686513108577,0.051636841148138046,0.04832301661372185
1.035,True,1.9488043785095215,0.7210315151527128,0.7199757354616498,0.05230126157402992,0.04854068532586098
1.04,True,1.9080129861831665,0.7227607099657866,0.7196782736758426,0.05267779529094696,0.048750441521406174
1.045,True,1.8525220155715942,0.7231362467623926,0.7192226288004223,0.05296439304947853,0.04899196699261665
1.05,True,1.836268663406372,0.7195049035782995,0.7186685161763059,0.05318257212638855,0.04924684390425682
1.055,True,1.9393223524093628,0.7106375182071121,0.7186553865438526,0.05359296873211861,0.04949105903506279
1.06,True,2.002321481704712,0.7143114508440487,0.718594367881581,0.053733453154563904,0.049716781824827194
1.065,True,2.025263547897339,0.7071907249721713,0.7183882547306883,0.05392445996403694,0.04995270445942879
1.07,True,2.049421787261963,0.7073132359074843,0.7182252235726744,0.053567323833703995,0.05018028989434242
1.075,True,2.0708324909210205,0.7062190936947724,0.7179132547714046,0.053555797785520554,0.05043289437890053
1.08,True,2.073110580444336,0.7033677691244739,0.7178172057978742,0.05360483005642891,0.05066687613725662
1.085,True,2.087902545928955,0.6965777234099096,0.7178213477747958,0.05394947901368141,0.05091816931962967
1.09,True,2.0872418880462646,0.6937741015276847,0.7180057123506689,0.05458303540945053,0.051160477101802826
1.095,True,2.1668570041656494,0.6903343396373005,0.7182486380276977,0.054398126900196075,0.05138532817363739
1.1,True,2.16729998588562,0.6829140788943413,0.7183432495039126,0.054963987320661545,0.05158190056681633
1.105,True,2.150844097137451,0.6815447272054159,0.7185225815863608,0.05525529384613037,0.051799215376377106
1.11,True,2.0609142780303955,0.680305079698622,0.7187791806423838,0.05549265444278717,0.052027132362127304
1.115,True,2.03131365776062,0.6790412195469613,0.7189948367566242,0.055576879531145096,0.05223134905099869
1.12,True,1.9729567766189575,0.6771066150979703,0.7191565068850996,0.055561136454343796,0.052454203367233276
1.125,True,1.9285231828689575,0.6758574284096854,0.7189734024564449,0.05580015480518341,0.05268481373786926
1.1300000000000001,True,1.859565258026123,0.6770547695098706,0.7191361505871204,0.055858008563518524,0.05284867435693741
1.135,True,1.7568905353546143,0.6788955244941477,0.7190523324963971,0.05568812042474747,0.053066954016685486
1.1400000000000001,True,1.6766111850738525,0.6780182192493466,0.7192046840444654,0.05587249621748924,0.05325450003147125
1.145,True,1.6393787860870361,0.6779328649028887,0.7191905634321294,0.056380581110715866,0.05344214662909508
1.1500000000000001,True,1.5825448036193848,0.6792076265563891,0.7193118189169607,0.05642316862940788,0.05365213006734848
1.155,True,1.4580706357955933,0.6802028763011927,0.7194366344186426,0.05634615197777748,0.05381213128566742
1.16,True,1.3688644170761108,0.6800874154410331,0.7192892947369584,0.05635509267449379,0.054007064551115036
1.165,True,1.3433654308319092,0.682259552254261,0.7191317882997812,0.05674834921956062,0.05417748540639877
1.17,True,1.4012359380722046,0.6852419242559618,0.7189098409779867,0.0570986345410347,0.054375141859054565
1.175,True,1.4585505723953247,0.6911606279858081,0.718227713062779,0.05727606266736984,0.05462171509861946
1.18,True,1.5730465650558472,0.6952590601307094,0.7178236667703936,0.05740012601017952,0.05483686551451683
1.185,True,1.5280848741531372,0.6972727962256249,0.7175381627799662,0.0575144924223423,0.0550815723836422
1.19,True,1.559407114982605,0.6976341515171489,0.7169145834191292,0.058130230754613876,0.055374711751937866
1.195,True,1.6017203330993652,0.7023946526017003,0.7165277711439925,0.0577896423637867,0.055628079921007156
1.2,True,1.5540517568588257,0.7023427998468103,0.7162182660801826,0.05812462791800499,0.055879414081573486
1.205,True,1.5299687385559082,0.7025008102671586,0.7158369546730302,0.0585608072578907,0.05613137409090996
1.21,True,1.4711999893188477,0.7040422719472795,0.715752933334413,0.058762822300195694,0.05636372044682503
1.215,True,1.4219834804534912,0.7077198278268774,0.7159682528051623,0.05892812833189964,0.05658763274550438
1.22,True,1.3913673162460327,0.7089205226638353,0.7158897874737812,0.058920521289110184,0.056842461228370667
1.225,True,1.3866134881973267,0.7105076460309476,0.7160095156113118,0.058651555329561234,0.057088643312454224
1.23,True,1.3636634349822998,0.7089974273141002,0.7161185606882798,0.05899979919195175,0.05734460428357124
1.235,True,1.3934612274169922,0.7076269030966681,0.716355958066163,0.05934540927410126,0.0575597770512104
1.24,True,1.4285268783569336,0.7081413814184694,0.7167090336984385,0.05993114784359932,0.057755596935749054
1.245,True,1.4054137468338013,0.7062972112130177,0.7173686119382277,0.060734640806913376,0.057931337505578995
1.25,True,1.415753722190857,0.7078938841940878,0.7174986984588123,0.06112554296851158,0.058152180165052414
1.2550000000000001,True,1.4056299924850464,0.7079367926159569,0.7176649603184007,0.06190802529454231,0.05834970995783806
1.26,True,1.3484877347946167,0.7089316075445371,0.7176904236987186,0.06255804002285004,0.05854659900069237
1.2650000000000001,True,1.3484718799591064,0.7106618707742943,0.7175504612720461,0.06301862001419067,0.05877160653471947
1.27,True,1.3655381202697754,0.7134196950914803,0.7176367155441806,0.06342200934886932,0.05900346860289574
1.2750000000000001,True,1.3563584089279175,0.7148596081176957,0.7173863426121333,0.06378645449876785,0.059231121093034744
1.28,True,1.3907185792922974,0.7178507065297466,0.7175919554847957,0.06383387744426727,0.059443093836307526
1.285,True,1.4395606517791748,0.7181518027528302,0.7174992408027712,0.06451722979545593,0.0596461184322834
1.29,True,1.4363703727722168,0.719229230833308,0.7173438990738786,0.0648939311504364,0.05985505133867264
1.295,True,1.3904739618301392,0.7221660534273934,0.7175953959463591,0.06499353051185608,0.060030482709407806
1.3,True,1.3590606451034546,0.7244656506925704,0.7172662435981156,0.06482671201229095,0.060266461223363876
1.305,True,1.3554253578186035,0.7268257255403849,0.7171702340222673,0.06514322012662888,0.06049322336912155
1.31,True,1.3725295066833496,0.7287657956227054,0.7170374912983419,0.06494958698749542,0.060688965022563934
1.315,True,1.3864638805389404,0.7338741523545795,0.7168111811085305,0.06506404280662537,0.060934215784072876
1.32,True,1.3571265935897827,0.7381957996338876,0.7169042400110696,0.06478587538003922,0.06115282326936722
1.325,True,1.376858115196228,0.742040366441031,0.7168632000607126,0.06478209048509598,0.06139718368649483
1.33,True,1.4369001388549805,0.7465830331211131,0.7163613989685628,0.06424678862094879,0.061678025871515274
1.335,True,1.3849884271621704,0.7486916756839923,0.716016565473204,0.06360769271850586,0.06196451932191849
1.34,True,1.4296444654464722,0.7496243615816305,0.7161136512814443,0.06355380266904831,0.06215285137295723
1.345,True,1.4105138778686523,0.7485842723458299,0.7162350878499878,0.06392312049865723,0.06238185986876488
