t,norm,peak,R_rms,r50,r80,r90,PR,Vmem_peak,Vmem_mean,n_atoms_detected,n_raw_maxima,nn_mean,nn_median
2.9,9.035120909156266,0.003569098369735378,15.952542483252829,15.717506163510803,19.249935064825543,20.87678136111982,16281.849337240474,0.01172014907300903,0.0009534240840915985,939,2012,2.5644535541874522,2.5298221281347057
3.0,9.265689496220867,0.0029363862337686997,15.96192882346364,15.717506163510803,19.249935064825547,20.87678136111982,16248.561700329536,0.010469699829964686,0.0009831072167438442,993,2250,2.554171949240454,2.5298221281347057
3.1,9.48883983055367,0.004077699285350612,15.96315843387625,15.717506163510803,19.249935064825547,20.87678136111982,16147.385776333602,0.008993989609246782,0.001011068576244884,923,1842,2.573850610109058,2.5298221281347057
3.2,9.72429150581962,0.0031994200778341906,15.963905549069459,15.717506163510803,19.249935064825543,20.87678136111982,16188.861169677972,0.011130815484161746,0.00103981468026666,989,2247,2.5534607401069533,2.5298221281346787
3.3000000000000003,9.94640442280221,0.0038755161915351374,15.969094359362536,15.737852458324799,19.249935064825543,20.87678136111982,16276.676210112519,0.00907387274280141,0.0010678048973655568,951,2055,2.576225921528774,2.5298221281347057
3.4,10.185523490525968,0.0035891566655164866,15.969233309443837,15.7378524583248,19.249935064825543,20.87678136111982,16368.079784418896,0.010931066251878034,0.0010961626097335808,991,2193,2.5749223708012328,2.5298221281347057
3.5,10.410800505697512,0.004067493841372363,15.980615628493966,15.737852458324804,19.249935064825543,20.876781361119825,16325.831946770011,0.01002473854219405,0.001124087079257197,965,2051,2.5821216545355763,2.5298221281347057
3.6,10.63597904473228,0.004039892641198937,15.986200222553867,15.758172482873768,19.249935064825547,20.90741495259517,16354.567685871325,0.011568215033130023,0.0011523423346693114,977,2076,2.5670423041555663,2.5298221281347057
3.7,10.859332844429074,0.0033574517465507743,15.985760702003807,15.737852458324804,19.249935064825547,20.876781361119825,16396.507754262522,0.011480255318498172,0.001179839712512767,1004,2268,2.558777043198203,2.5298221281347057
3.8000000000000003,11.081080601830603,0.003726517538800993,15.98546234931105,15.737852458324802,19.266551326067674,20.87678136111982,16402.683233536445,0.009621849346772005,0.0012074543945191064,969,2256,2.56789400935161,2.5298221281347057
3.9,11.282214616524799,0.0042950923058228925,15.984217513252107,15.737852458324802,19.249935064825547,20.87678136111982,16349.00836066334,0.011135811241158271,0.0012346218225334489,949,2160,2.57608597003855,2.5298221281347057
4.0,11.507050368259087,0.0037481844862777363,15.988061654715779,15.737852458324804,19.249935064825547,20.876781361119825,16385.486479007734,0.011448617263340156,0.0012611234335301398,1010,2290,2.5516952735495266,2.5298221281347057
4.1,11.73630668431488,0.004010423939015627,15.984442810399093,15.737852458324804,19.249935064825547,20.876781361119825,16345.165824010366,0.011502669233435207,0.0012886942470929713,992,2229,2.559899111425492,2.5298221281347057
4.2,11.938459710386352,0.0037118359027298532,15.985261622425488,15.737852458324804,19.249935064825547,20.90741495259517,16391.950325446393,0.010879460708568149,0.0013161747727353592,996,2302,2.5702179498778954,2.5298221281347057
4.3,12.14649053138071,0.004056780210171248,15.983715483202431,15.737852458324804,19.249935064825547,20.90741495259517,16488.21236946799,0.010570217705053338,0.0013426007233355104,986,2234,2.559684417222078,2.5298221281347057
4.4,12.362781231165012,0.003923409664702495,15.98094050662741,15.737852458324802,19.249935064825547,20.90741495259517,16522.669202907142,0.011502484342811996,0.0013687394638599631,998,2273,2.56631208720261,2.5298221281347057
