seed,corda,size,elong,atoms,rho_mean,rho_max,vort,b1,b2,b3,b4,b5,b6,b7,b8
2,259,17,2.5472,1,0.009634,0.011631,0.11765,0.01647,0.100318,0.187966,0.221203,0.194244,0.143816,0.089293,0.04669
2,262,11,2.4411,1,0.009312,0.011207,0.18182,0.011455,0.07331,0.149693,0.194977,0.187619,0.154302,0.123,0.105644
2,263,21,2.0934,1,0.009541,0.011949,0.19048,0.020233,0.120945,0.216865,0.234816,0.181233,0.116775,0.068478,0.040655
2,264,15,1.6239,1,0.00987,0.011265,0.2,0.014557,0.093494,0.190596,0.241426,0.210655,0.136229,0.070561,0.042481
2,266,13,2.1538,0,0.009047,0.010029,0.15385,0.012705,0.080994,0.164275,0.212079,0.20091,0.157191,0.106876,0.064969
2,269,23,2.4292,1,0.010558,0.014197,0.0,0.021377,0.126506,0.222088,0.232517,0.173007,0.110709,0.068783,0.045012
2,271,12,1.2329,1,0.009527,0.011287,0.16667,0.012099,0.078898,0.165962,0.221461,0.209613,0.153679,0.094919,0.063369
2,273,21,2.2609,1,0.010348,0.013459,0.04762,0.019613,0.11813,0.2146,0.235375,0.18176,0.115052,0.068481,0.046988
2,274,47,1.876,1,0.011008,0.017283,0.10638,0.040817,0.214373,0.301351,0.230058,0.110845,0.040967,0.028082,0.033507
2,276,34,1.6727,1,0.010805,0.015537,0.29412,0.030938,0.177599,0.289013,0.255839,0.133276,0.047407,0.028092,0.037836
2,278,43,3.1896,1,0.009699,0.013082,0.16279,0.037747,0.175724,0.237155,0.229447,0.150954,0.076085,0.051816,0.041071
2,279,12,1.9206,1,0.009442,0.011209,0.08333,0.012072,0.078269,0.163144,0.216058,0.205294,0.155178,0.101791,0.068195
2,281,20,1.757,1,0.009559,0.011499,0.25,0.019288,0.11905,0.224826,0.254505,0.192649,0.106783,0.049853,0.033045
2,282,33,1.4354,1,0.010543,0.01464,0.27273,0.030826,0.17936,0.298372,0.268865,0.136441,0.039187,0.018164,0.028786
2,284,48,2.1193,1,0.010581,0.014548,0.14583,0.042386,0.221142,0.306873,0.231334,0.11204,0.040006,0.02102,0.0252
2,285,47,2.805,1,0.009692,0.013376,0.25532,0.041282,0.196955,0.243904,0.195314,0.139987,0.086783,0.054265,0.04151
2,289,39,2.691,1,0.009714,0.014097,0.10256,0.034064,0.167497,0.252772,0.239293,0.143489,0.065543,0.04571,0.051632
2,292,76,2.4368,1,0.011798,0.018299,0.06579,0.061538,0.280304,0.312481,0.18335,0.07393,0.032844,0.027492,0.028061
2,293,14,2.1385,0,0.009335,0.010295,0.21429,0.014087,0.089565,0.179812,0.225425,0.200057,0.140868,0.088416,0.061769
2,295,47,1.1995,1,0.012644,0.021725,0.19149,0.039902,0.22166,0.333392,0.249649,0.091182,0.020459,0.021871,0.021884
2,297,22,1.6985,1,0.009884,0.013592,0.0,0.021482,0.130607,0.239873,0.261106,0.187692,0.095878,0.038465,0.024896
2,298,83,3.2887,2,0.010331,0.01454,0.19277,0.062138,0.215179,0.265253,0.2365,0.108472,0.047469,0.034781,0.030209
2,300,52,2.5635,1,0.010291,0.013651,0.09615,0.044462,0.19893,0.242415,0.21631,0.14907,0.07805,0.041418,0.029345
2,301,63,2.6795,2,0.009425,0.011783,0.19048,0.047367,0.145561,0.181449,0.214615,0.156416,0.11449,0.079561,0.060542
2,302,84,3.5691,2,0.011378,0.017027,0.17857,0.064191,0.241469,0.273584,0.228936,0.114344,0.041187,0.016013,0.020276
2,303,25,5.4707,1,0.009475,0.011449,0.16,0.023084,0.119339,0.170283,0.159817,0.144647,0.135294,0.126461,0.121074
2,304,30,1.9084,1,0.010928,0.01518,0.13333,0.027124,0.156416,0.260049,0.247079,0.154623,0.075668,0.040783,0.038257
2,306,38,2.1205,1,0.010577,0.01432,0.39474,0.034511,0.18812,0.284426,0.241889,0.134017,0.055513,0.028752,0.032773
2,310,13,1.3588,1,0.00933,0.011897,0.23077,0.013511,0.08779,0.183138,0.240256,0.219243,0.14734,0.073226,0.035495
2,311,17,2.1684,1,0.0093,0.010846,0.11765,0.016469,0.102525,0.197421,0.23247,0.191157,0.12626,0.078375,0.055323
2,318,9,1.4621,1,0.01026,0.011868,0.22222,0.008799,0.059214,0.132749,0.196103,0.21417,0.186717,0.130664,0.071583
2,320,9,1.4652,0,0.008971,0.010734,0.11111,0.009765,0.065104,0.143167,0.204854,0.213505,0.175353,0.117127,0.071125
2,321,44,1.296,1,0.011517,0.01805,0.36364,0.038284,0.214125,0.327364,0.253822,0.09977,0.022866,0.019963,0.023807
2,328,36,1.5624,1,0.01085,0.014871,0.30556,0.032763,0.184931,0.291539,0.248164,0.128604,0.05232,0.030666,0.031014
2,329,11,1.6975,1,0.009688,0.01088,0.18182,0.010989,0.072386,0.155464,0.214681,0.213592,0.166338,0.105536,0.061013
2,331,47,4.6927,1,0.010409,0.015725,0.12766,0.036671,0.14627,0.214115,0.227056,0.179592,0.112874,0.052894,0.030528
2,332,44,2.0282,1,0.010756,0.015003,0.36364,0.038884,0.2077,0.299001,0.233174,0.11679,0.046332,0.027034,0.031086
2,333,33,3.8512,1,0.009634,0.011941,0.36364,0.029184,0.142567,0.20144,0.20316,0.162646,0.116749,0.085174,0.05908
2,335,13,1.9315,1,0.009389,0.011605,0.15385,0.012532,0.080667,0.165965,0.216287,0.203031,0.153965,0.102595,0.064958
2,336,28,3.2783,2,0.009691,0.012405,0.17857,0.025714,0.126177,0.179952,0.204852,0.202078,0.138157,0.072593,0.050477
2,338,21,1.477,1,0.010222,0.012918,0.0,0.020151,0.124507,0.234784,0.262479,0.190801,0.096363,0.040468,0.030445
2,340,53,2.6968,1,0.010939,0.015539,0.07547,0.0458,0.217613,0.273206,0.219282,0.13588,0.060162,0.023947,0.02411
2,341,14,4.966,0,0.009257,0.010544,0.21429,0.01367,0.071241,0.123282,0.17285,0.189451,0.168663,0.142606,0.118237
2,345,22,3.3115,1,0.00954,0.011351,0.09091,0.021318,0.118469,0.194229,0.208044,0.178995,0.131046,0.086131,0.061769
2,347,23,1.6642,1,0.010055,0.013697,0.04348,0.022128,0.134167,0.244563,0.261684,0.182017,0.088922,0.036905,0.029616
2,348,18,1.9555,1,0.010303,0.0122,0.05556,0.017359,0.10802,0.20745,0.241855,0.193286,0.119619,0.067253,0.045158
2,349,17,2.3697,1,0.009618,0.011548,0.17647,0.016705,0.102619,0.19403,0.226646,0.190286,0.13155,0.082649,0.055516
2,350,41,1.9338,1,0.011214,0.016439,0.04878,0.036301,0.199833,0.301747,0.245446,0.124459,0.047323,0.020535,0.024356
2,351,10,1.5414,1,0.009193,0.010795,0.0,0.010535,0.069786,0.151476,0.212322,0.214857,0.169597,0.107922,0.063503
2,353,9,1.7548,1,0.009646,0.012403,0.44444,0.009055,0.060539,0.134019,0.194416,0.208047,0.179336,0.129747,0.084841
2,355,34,1.3983,1,0.012085,0.018519,0.11765,0.030423,0.177188,0.295682,0.269051,0.140726,0.043657,0.017828,0.025444
2,357,9,2.7694,0,0.008957,0.01005,0.33333,0.00977,0.062563,0.12892,0.173863,0.181469,0.168812,0.148482,0.126121
2,358,43,4.7103,2,0.010517,0.014814,0.23256,0.034535,0.139196,0.228814,0.252923,0.163591,0.096589,0.046912,0.03744
2,360,34,5.1448,2,0.009624,0.011504,0.38235,0.029024,0.1282,0.18174,0.211688,0.184582,0.129465,0.081234,0.054066
2,362,39,1.8447,1,0.010331,0.015266,0.38462,0.035691,0.197414,0.300519,0.245033,0.120337,0.043471,0.024883,0.032652
2,363,34,1.6606,1,0.010895,0.016093,0.17647,0.031033,0.178305,0.290358,0.257158,0.135953,0.051982,0.027792,0.027419
2,364,14,2.7893,0,0.00891,0.009788,0.07143,0.013834,0.085446,0.165268,0.205389,0.193848,0.155852,0.109655,0.070708
2,366,11,1.8746,0,0.008805,0.009798,0.09091,0.011883,0.077574,0.163674,0.219903,0.210795,0.157175,0.097208,0.061788
2,367,12,1.4758,1,0.009468,0.011568,0.33333,0.012219,0.080056,0.169884,0.229362,0.219016,0.158132,0.087562,0.043769
2,368,40,2.3475,1,0.010753,0.014894,0.325,0.035788,0.19084,0.280263,0.232577,0.129323,0.062113,0.037988,0.031108
2,369,18,3.1514,0,0.00874,0.009728,0.16667,0.017703,0.103668,0.180729,0.195638,0.166505,0.136516,0.111077,0.088164
2,371,14,1.4994,1,0.010243,0.011908,0.0,0.013598,0.088155,0.183051,0.238446,0.215853,0.145093,0.075371,0.040432
2,372,90,5.1362,3,0.010224,0.013633,0.13333,0.057524,0.168987,0.218321,0.225711,0.163896,0.087516,0.042924,0.035121
2,373,10,1.6958,1,0.009412,0.010834,0.1,0.009775,0.065041,0.142597,0.203657,0.212877,0.176958,0.120056,0.069039
2,376,68,2.1349,2,0.012624,0.019222,0.08824,0.055194,0.255134,0.290635,0.191171,0.102143,0.04987,0.029919,0.025934
2,377,24,1.6458,1,0.00955,0.012252,0.29167,0.023021,0.138891,0.250155,0.261576,0.175457,0.082996,0.036423,0.031479
2,379,34,3.1931,1,0.009629,0.013381,0.11765,0.031365,0.161486,0.233271,0.213609,0.149447,0.091696,0.064796,0.05433
