t,norm,peak,PR,R_rms,r50,r80,r90,Vmem_peak,Vmem_mean,k_star,k_star_L,crystallinity,M1,M2,M3,finite,r90_over_r50,peak_n_cells_half,peak_r_cells,peak_width_phys,artifact_1_2_cells,rho_core,rho_mid,rho_far,mass_core,mass_mid,mass_far,mass_core_frac,mass_mid_frac,mass_far_frac,contrast_im,contrast_mf,two_scale,N,dx
0.39,1257.0214829371937,0.47726761421650854,16387.867979521525,16.00156668367244,15.732132722552274,19.241881404893856,20.89258241577618,0.7948168047799049,0.09002139883222646,0.2945243112740431,9.42477796076938,0.9999481135481341,0.4398930984385157,0.005747283273941536,6.405214045660021e-05,True,1.3280197150781925,547,5.073405464511547,2.5367027322557734,False,0.08948319746036482,0.0422687889220122,0.03832768139175713,0.21252259396836642,4.237446089431723,1174.106236954218,0.00016906838654163637,0.003371021217179503,0.9340383222494866,2.1170040529305276,1.1028266617532114,False,64,0.5
0.4,1287.9991853807865,0.4947766344528143,16393.17212042334,16.001977492277362,15.732132722552274,19.241881404893856,20.898564544006366,0.828422527253764,0.09306663115431787,0.2945243112740431,9.42477796076938,0.9999440252404012,0.447075107410444,0.00601344021245078,6.720445208849086e-05,True,1.3283999641096293,498,4.917151369608337,2.4585756848041687,False,0.09258473960881229,0.043082900382661875,0.039271037984018674,0.21988875657092918,4.319060763361853,1203.004433203688,0.00017072119226994764,0.0033533101669508884,0.9340102438403558,2.1489904065528456,1.097065486280104,False,64,0.5
0.5,1601.4427574910965,0.600644853426853,16400.173854730067,16.004210987222844,15.748015748023622,19.241881404893856,20.89258241577618,1.078297633337549,0.12377752382586951,0.2945243112740431,9.42477796076938,0.9999471850382695,0.5009461723136276,0.008831296554385287,0.00010148297308517194,True,1.3266803100827607,550,5.082663524214308,2.541331762107154,False,0.10089622371123415,0.052434600781917834,0.048835212636098656,0.2396285313141811,5.256568728387263,1495.9873818863487,0.00014963290457511926,0.0032823956421786046,0.9341497689433748,1.9242298445424304,1.0737047706260736,False,64,0.5
0.6,1913.0477389795376,0.7149668688127776,16385.62247680529,16.00715873775416,15.75595125658873,19.241881404893856,20.904544960366874,1.2950790474848302,0.1548071958256366,0.2945243112740431,9.42477796076938,0.9999528670659076,0.5384313161202846,0.011997374053200673,0.00014176008544517665,True,1.32677136530396,595,5.217664123107867,2.6088320615539335,False,0.09970968759651508,0.06062840730466571,0.05835018544627537,0.23681050804172332,6.077997832292738,1787.4631120952959,0.00012378703532408623,0.0031771281544363747,0.9343536366995048,1.6446034462931014,1.0390439523193626,False,64,0.5
0.7000000000000001,2220.221434330716,0.8181968641655808,16406.09966481683,16.004175765680685,15.75595125658873,19.241881404893856,20.904544960366874,1.591365683572879,0.18595919921386445,0.2945243112740431,9.42477796076938,0.9999572099434483,0.5685629884400979,0.015548374556195602,0.00018888892654951426,True,1.32677136530396,624,5.301091821273772,2.650545910636886,False,0.09010158640289002,0.07035951800244979,0.06770068854634487,0.2139912677068638,7.0535416797455905,2073.900579998387,9.638284920502595e-05,0.003176954141005253,0.9340962788351617,1.2805884542835109,1.0392733000682084,False,64,0.5
0.8,2524.79908222389,0.9750457363617406,16415.983172368175,16.01026371766688,15.763882770434446,19.241881404893856,20.904544960366874,1.770684085272036,0.21728543307981393,0.2945243112740431,9.42477796076938,0.9999644824378763,0.590769030015358,0.019387724014008657,0.00024214730898305012,True,1.3261038073420508,460,4.788760024594249,2.3943800122971246,False,0.11376310739421587,0.07980096248211345,0.07702067153280552,0.2701873800612627,8.000046488831874,2359.4031138162563,0.00010701341820168781,0.0031685873720237907,0.9344914335670822,1.4255856553072863,1.0360979837487359,False,64,0.5
0.9,2825.0860539181454,1.0749060928975067,16440.755602728514,16.008323887628258,15.763882770434446,19.241881404893856,20.89258241577618,2.2917470027915767,0.24850702747774556,0.2945243112740431,9.42477796076938,0.9999698965235806,0.6098696145500597,0.023543691359882293,0.00030226516985169176,True,1.325344949593303,486,4.877334631253601,2.4386673156268004,False,0.1008377235382644,0.09041776542576241,0.08616839737819394,0.23948959340337794,9.064380983932681,2639.6288300352317,8.477249500815276e-05,0.003208532699866322,0.9343534248715359,1.1152423759140266,1.0493146928208257,False,64,0.5
1.0,3122.8493352502946,1.2365857011153247,16439.551309862185,16.00579262682625,15.75595125658873,19.235384061671343,20.89258241577618,2.36887276893779,0.27985181656599745,0.2945243112740431,9.42477796076938,0.9999757204505886,0.6241480139651108,0.02790638832685246,0.00036823454275946237,True,1.3260121255477635,379,4.489350705424529,2.2446753527122647,False,0.0913182810885531,0.10563173133320641,0.09520035217982624,0.2168809175853136,10.589581066153944,2916.308088456685,6.944968978720541e-05,0.0033909996702755417,0.9338612835200851,0.8644966804576671,1.1095729050841754,False,64,0.5
1.1,3414.9018557067257,2.167410304711521,16421.376609042796,16.003452362644154,15.748015748023622,19.235384061671343,20.89258241577618,4.265243427297135,0.31102650078291894,0.2945243112740431,9.42477796076938,0.9999789358955794,0.6347184976027945,0.032483201653911074,0.0004405106344889412,True,1.3266803100827607,10,1.3365046175719757,0.6682523087859878,False,0.08319299248720774,0.11576213266816053,0.10413044233854524,0.1975833571571184,11.605153799983093,3189.866889072533,5.785916126020783e-05,0.003398385748799614,0.9341020690658705,0.7186546288472908,1.1117030723042427,False,64,0.5
1.2,3701.670403717156,1.5543373346172384,16491.720882088805,16.00367097949524,15.748015748023622,19.235384061671343,20.904544960366874,4.349759253921055,0.3419221183131304,10.30835089459151,329.8672286269283,0.999979618635362,0.6471050267703091,0.037464957001035,0.0005221142743124107,True,1.3274399324238926,235,3.828186472892078,1.914093236446039,False,0.08428366487435461,0.12382069271006105,0.11286339923838641,0.2001737040765922,12.41302444418362,3457.3868326442052,5.4076587660419765e-05,0.003353357563039288,0.9340072063607702,0.6806912724330619,1.0970845601462968,False,64,0.5
