t,norm,peak,R_rms,r50,r80,r90,PR,Vmem_peak,Vmem_mean,n_atoms_detected,nn_mean,nn_median,kstar,kstarL,cryst
4.2,11196.494684622288,2.4465788303592975,16.017335381331055,15.7797338380595,19.209372712298546,20.904544960366874,18999.360286383537,8.145031482336151,1.22520130554518,1190,2.260191154116904,2.23606797749979,3.146689351267401,100.69405924055683,0.42009598151591554
4.3,11415.56142621778,2.594810390048651,16.021109313328868,15.7797338380595,19.235384061671343,20.904544960366874,19195.006130531343,8.431302702683839,1.2520104272986603,1204,2.2769891885996607,2.23606797749979,3.146689351267401,100.69405924055683,0.4141310622851652
4.4,11614.86690757881,2.4625651234179458,16.021332558451665,15.7797338380595,19.235384061671343,20.904544960366874,19361.081304430296,8.769444692718869,1.278060424689547,1187,2.263142928026957,2.23606797749979,3.146689351267401,100.69405924055683,0.40908696705427905
4.5,11823.046249140594,2.520496684021803,16.02041185442919,15.748015748023622,19.235384061671343,20.904544960366874,19455.693420971947,7.833802698093377,1.303877429173011,1211,2.265470184121321,2.23606797749979,3.146689351267401,100.69405924055683,0.4061999303482635
4.6000000000000005,12049.653449868007,2.6933688774312157,16.018897828425356,15.748015748023622,19.235384061671343,20.904544960366874,19490.00656598282,8.290455430320872,1.33016796038643,1157,2.2931892973370336,2.23606797749979,3.146689351267401,100.69405924055683,0.40514387512764954
4.7,12252.948010027036,2.7315684246024237,16.022124361872088,15.748015748023622,19.235384061671343,20.904544960366874,19623.3799984087,9.38629830317737,1.3570184278685766,1179,2.261066823504528,2.23606797749979,3.146689351267401,100.69405924055683,0.40107673841589564
4.8,12448.952602349607,2.319193192626494,16.022671723440574,15.748015748023622,19.235384061671343,20.904544960366874,19753.067963816622,8.478364519756685,1.3821906952743146,1195,2.2655179111474406,2.23606797749979,3.146689351267401,100.69405924055683,0.3971183365303658
4.9,12655.76479502522,2.2749778536102454,16.020428046203136,15.748015748023622,19.235384061671343,20.904544960366874,19927.454713650983,7.375604875885378,1.4084413422277,1203,2.2613026373908713,2.23606797749979,3.146689351267401,100.69405924055683,0.39178872901878453
5.0,12880.839309668532,2.552001363265764,16.022057830548196,15.748015748023622,19.261360284258224,20.904544960366874,20021.910617753227,6.718896589237161,1.4349620087329866,1176,2.2666978330169525,2.23606797749979,3.365233040927996,107.68745730969587,0.3889060766697774
5.1000000000000005,13069.119127390353,3.0484455346356505,16.018354255150633,15.748015748023622,19.261360284258224,20.904544960366874,20091.710807160332,8.608419000120012,1.4613142849517244,1170,2.2808134631842516,2.23606797749979,3.365233040927996,107.68745730969587,0.3867809673526143
5.2,13257.20381878777,2.4273937844108526,16.01324553057894,15.748015748023622,19.261360284258224,20.904544960366874,20117.715461083248,9.052966024147093,1.4860887993279017,1159,2.294769413364936,2.23606797749979,3.146689351267401,100.69405924055683,0.38601321759814233
5.3,13451.136278423484,2.5088894924174037,16.015545487721166,15.748015748023622,19.261360284258224,20.8806130178211,20149.461459967024,8.125581031961806,1.510711920547223,1189,2.263337052724258,2.23606797749979,3.146689351267401,100.69405924055683,0.3850162261898071
5.4,13654.326509608378,2.688846217900171,16.03832224192219,15.7797338380595,19.261360284258224,20.904544960366874,20314.864008232715,7.960880418711799,1.5358863158610216,1200,2.2659860259686857,2.23606797749979,3.146689351267401,100.69405924055683,0.37995874960025705
5.5,13844.193332861607,2.537801494206354,16.036582760435014,15.7797338380595,19.261360284258224,20.904544960366874,20449.656601252565,8.008391509068272,1.5606937771335296,1194,2.2766988023034562,2.23606797749979,3.146689351267401,100.69405924055683,0.3758479674572664
5.6000000000000005,14038.524032554626,2.4864868232351487,16.026176805570895,15.748015748023622,19.261360284258224,20.904544960366874,20582.405703403536,7.733308267317438,1.5853227648472883,1188,2.2753341216420226,2.23606797749979,3.365233040927996,107.68745730969587,0.37184116682606033
5.7,14211.736337897208,2.390618986401246,16.032102706518003,15.748015748023622,19.261360284258224,20.92844953645635,20587.135193183232,7.06100860122892,1.6089782176567353,1192,2.2638876748242494,2.23606797749979,3.146689351267401,100.69405924055683,0.3717082877316085
5.8,14408.99360174447,2.5173310790827044,16.02915126209096,15.7797338380595,19.261360284258224,20.92844953645635,20534.93284344484,7.250952376011925,1.6329187421245486,1152,2.283054035547684,2.23606797749979,3.146689351267401,100.69405924055683,0.3732933350166675
5.9,14597.195099555629,2.463745409577976,16.034480096183806,15.7797338380595,19.261360284258224,20.92844953645635,20702.84876945326,7.201670303757786,1.6574368324958384,1182,2.26613515849837,2.23606797749979,3.146689351267401,100.69405924055683,0.36816215731713775
6.0,14776.154589828882,2.384386199916284,16.036222459428167,15.7797338380595,19.261360284258224,20.92844953645635,20826.66687615116,7.571802271267597,1.6815148346319493,1179,2.270926764625382,2.23606797749979,3.146689351267401,100.69405924055683,0.36437723027557267
6.1000000000000005,14995.671204736547,2.4008309511667973,16.03873728208392,15.7797338380595,19.261360284258224,20.92844953645635,20916.305829665824,7.462083648950428,1.7058127150422133,1154,2.270483972980196,2.23606797749979,3.146689351267401,100.69405924055683,0.36165429555980744
6.2,15163.16222930627,2.4196135016719063,16.043106542754213,15.7797338380595,19.261360284258224,20.97617696340303,21011.31068513825,7.036340194275428,1.7305220290381627,1176,2.2666318847962392,2.23606797749979,3.146689351267401,100.69405924055683,0.3587391312302504
6.3,15345.095623800964,2.748248322633795,16.054696791073724,15.7797338380595,19.261360284258224,20.97617696340303,21057.43812041524,6.866339267792401,1.7544808552558329,1151,2.2609808669319116,2.23606797749979,3.146689351267401,100.69405924055683,0.3572987111769433
6.4,15533.99159831155,2.533322305301327,16.05419441538422,15.7797338380595,19.261360284258224,20.97617696340303,21084.153344810547,7.020218608138582,1.7780531688619055,1128,2.2817016951209514,2.23606797749979,3.146689351267401,100.69405924055683,0.3564802396507244
6.5,15708.865922204142,2.528806341677296,16.05683642341007,15.7797338380595,19.261360284258224,20.97617696340303,21289.798658137195,7.108992657471994,1.8018551359463955,1152,2.283441744751359,2.23606797749979,3.146689351267401,100.69405924055683,0.3501797908562978
6.6000000000000005,15869.92634493333,2.75090063234227,16.059685926550408,15.7797338380595,19.261360284258224,20.97617696340303,21343.02791167269,8.223203623707137,1.8245310991894423,1133,2.277207041978038,2.23606797749979,3.146689351267401,100.69405924055683,0.3485472475029988
6.7,16016.612320638093,2.388102372615281,16.06053329146751,15.7797338380595,19.261360284258224,20.97617696340303,21395.370287194513,7.301202870803306,1.8453453001368327,1167,2.273825402465215,2.23606797749979,3.146689351267401,100.69405924055683,0.3469424130898527
6.8,16171.182411636612,2.3585189875164776,16.059870880329612,15.7797338380595,19.261360284258224,20.97617696340303,21503.271619174735,6.3338797152453115,1.866142251733291,1149,2.2836895315974663,2.23606797749979,3.146689351267401,100.69405924055683,0.3436032390106011
6.9,16352.815971994078,2.416969603480355,16.06174762894038,15.7797338380595,19.261360284258224,20.97617696340303,21524.602120771535,6.7450127964179885,1.8876393166775987,1156,2.265748537783169,2.23606797749979,3.146689351267401,100.69405924055683,0.34295202428438304
7.0,16514.9408115954,2.497035715411508,16.066166616646953,15.7797338380595,19.261360284258224,20.97617696340303,21605.436113705928,6.898019468175524,1.9097124811800823,1161,2.2743740079795933,2.23606797749979,3.146689351267401,100.69405924055683,0.34041348840124075
7.1000000000000005,16666.481981821536,2.8915223514899964,16.064159544590463,15.7797338380595,19.261360284258224,20.92844953645635,21737.52953904224,8.235417903379394,1.9307402703256984,1133,2.292091607668534,2.23606797749979,3.146689351267401,100.69405924055683,0.3363241853034441
7.2,16807.20929434325,2.6145121884033364,16.05607352295642,15.7797338380595,19.261360284258224,20.92844953645635,21873.785143707228,7.673671649268045,1.9506231528631526,1119,2.298750397482033,2.23606797749979,3.146689351267401,100.69405924055683,0.33210764241049684
7.3,16996.70177973142,2.5850167934396047,16.052816095842495,15.7797338380595,19.261360284258224,20.97617696340303,21831.62838398827,6.403890865659054,1.971559552401944,1142,2.2714067627798795,2.23606797749979,3.146689351267401,100.69405924055683,0.33327840893870275
7.4,17166.597790715383,2.5620478064577052,16.05136512510772,15.7797338380595,19.28730152198591,20.97617696340303,21984.44604616424,6.749221080180821,1.9940143271619504,1118,2.2753851896995747,2.23606797749979,3.146689351267401,100.69405924055683,0.32845977485699607
7.5,17330.35407871891,2.473063846862104,16.048255152850423,15.7797338380595,19.28730152198591,20.97617696340303,22122.671046572545,6.443841420392604,2.0157974345146474,1097,2.3086817622718834,2.23606797749979,3.146689351267401,100.69405924055683,0.3241361762880079
7.6000000000000005,17477.187060103537,2.830227966257069,16.030165153334593,15.748015748023622,19.261360284258224,20.92844953645635,22123.790697746626,7.591199106130866,2.0365866137087787,1094,2.302934338928004,2.23606797749979,3.146689351267401,100.69405924055683,0.32391873453844783
7.7,17623.861452299258,2.9214968209876755,16.021972924485997,15.748015748023622,19.261360284258224,20.904544960366874,22258.107583720477,8.334959769029236,2.0573126867505858,1101,2.2930183903150927,2.23606797749979,3.146689351267401,100.69405924055683,0.31960409073234197
7.8,17784.51183645688,2.69687418163157,16.00822714403322,15.748015748023622,19.261360284258224,20.904544960366874,22242.003675793378,7.92146789917279,2.077128762894958,1117,2.2775942060550087,2.23606797749979,3.146689351267401,100.69405924055683,0.31986181686043996
7.9,17907.87070923257,2.6364255169680924,15.991078309763434,15.748015748023622,19.261360284258224,20.83266665599966,22341.529007130044,6.9759480294083085,2.0960289868025788,1105,2.280972087209181,2.23606797749979,3.146689351267401,100.69405924055683,0.31649994435224055
8.0,18048.11576800201,2.6111149106136637,15.97479947698843,15.748015748023622,19.235384061671343,20.83266665599966,22421.74125794864,7.783413220097308,2.1143225478353864,1112,2.2877356159510276,2.23606797749979,3.146689351267401,100.69405924055683,0.3136510744774701
8.1,18159.448542951355,2.544999250034938,15.957875693711644,15.748015748023622,19.235384061671343,20.808652046684813,22560.617048257023,7.296030784056356,2.1330908661706642,1103,2.288862191719803,2.23606797749979,3.146689351267401,100.69405924055683,0.30903318372970784
8.2,18288.506182605262,2.4862871276214515,15.945744037252702,15.7797338380595,19.235384061671343,20.808652046684813,22621.897503628366,6.82991642563508,2.149862081591362,1089,2.3023185711181107,2.23606797749979,3.146689351267401,100.69405924055683,0.3066861107091063
8.3,18416.380860157384,3.0622645447400263,15.927583039697588,15.748015748023622,19.235384061671343,20.808652046684813,22669.90982886955,6.986459009972053,2.167771430411431,1108,2.30765347177858,2.23606797749979,3.146689351267401,100.69405924055683,0.30462361529008863
8.4,18540.04247203555,2.695364404341049,15.90594518005563,15.748015748023622,19.235384061671343,20.808652046684813,22786.291089411203,7.004063176358991,2.1855045108012794,1081,2.301464216686284,2.23606797749979,3.146689351267401,100.69405924055683,0.30012017297862187
8.5,18686.725355716102,2.747209740098259,15.883581371028072,15.684387141358123,19.209372712298546,20.808652046684813,22900.561964569108,8.102439700212063,2.2033100183719876,1120,2.2756250444985207,2.23606797749979,3.146689351267401,100.69405924055683,0.2954392406060883
8.6,18817.032617086148,3.0013753410649344,15.86850466532647,15.684387141358123,19.209372712298546,20.808652046684813,22916.091425567804,7.078179788751539,2.2211357859269523,1067,2.2966965912324233,2.23606797749979,3.146689351267401,100.69405924055683,0.29399927056874603
8.700000000000001,18972.474904563038,3.144998033493112,15.851983369443378,15.652475842498529,19.209372712298546,20.73644135332772,23062.146091958984,7.721559631466194,2.2393064677573014,1084,2.3058437856105076,2.23606797749979,3.146689351267401,100.69405924055683,0.2883682859534549
8.8,19138.350519946256,2.662755743351318,15.843943953093248,15.652475842498529,19.209372712298546,20.73644135332772,23232.733595400536,8.98344291955369,2.2595396891574024,1119,2.3011970672151154,2.23606797749979,3.146689351267401,100.69405924055683,0.28209615396032806
8.9,19250.81885829372,2.7220672657232843,15.846278565090689,15.652475842498529,19.209372712298546,20.73644135332772,23364.888740236365,7.259354025491,2.2783284998707467,1103,2.2865738957030213,2.23606797749979,3.146689351267401,100.69405924055683,0.2774663439932531
9.0,19419.589955038464,3.212489084698757,15.851860359759225,15.652475842498529,19.131126469708992,20.73644135332772,23552.928432695233,7.577070117319061,2.2967724760946355,1096,2.2954349251149826,2.23606797749979,3.146689351267401,100.69405924055683,0.27129937210770566
9.1,19560.994462682527,2.4289059097543366,15.876064921586083,15.652475842498529,19.209372712298546,20.808652046684813,23768.60957752709,7.673072297182932,2.3156521873066636,1139,2.266270918988054,2.23606797749979,3.146689351267401,100.69405924055683,0.26476426563607075
9.200000000000001,19695.865835032244,2.642237341795131,15.904526944226152,15.652475842498529,19.209372712298546,20.83266665599966,23962.57949406829,6.48836681134466,2.334199166833702,1104,2.284537368642246,2.23606797749979,3.146689351267401,100.69405924055683,0.25914030751109035
9.3,19811.006519608163,2.6239158508123896,15.93142493972813,15.684387141358123,19.209372712298546,20.83266665599966,24181.465001045937,6.513648601934516,2.3516311581398073,1122,2.3008134697853464,2.23606797749979,3.146689351267401,100.69405924055683,0.25286845677884023
9.4,19958.537182856726,2.588227356257571,15.969640226244818,15.684387141358123,19.235384061671343,20.8806130178211,24304.910947216,6.686044512840022,2.369257684272952,1116,2.27965423410219,2.23606797749979,3.146689351267401,100.69405924055683,0.24965594006630293
9.5,20077.518552662812,2.8588165169955926,16.001518687731817,15.748015748023622,19.235384061671343,20.904544960366874,24447.505883888763,6.837332543119331,2.386783404518401,1091,2.2968284205446268,2.23606797749979,3.365233040927996,107.68745730969587,0.24626808653775073
9.6,20229.00063243231,2.4780317627302884,16.036795294732535,15.7797338380595,19.261360284258224,20.904544960366874,24640.006641249074,7.462352712965316,2.404509474223236,1103,2.2929977989255095,2.23606797749979,3.146689351267401,100.69405924055683,0.24145093456424613
9.700000000000001,20391.33061448254,2.380782046706087,16.0661424477394,15.7797338380595,19.313207915827967,20.92844953645635,24763.41982389447,6.241067953343212,2.4237746519320753,1117,2.2952114882027104,2.23606797749979,3.146689351267401,100.69405924055683,0.23893754642354148
9.8,20501.095619287567,2.3936346250560523,16.08984485581787,15.811388300841896,19.313207915827967,21.0,24873.234112819784,7.117711361188894,2.4421354869943688,1119,2.308151443357726,2.23606797749979,3.146689351267401,100.69405924055683,0.23689585518546263
9.9,20609.061861681286,2.3892145218139227,16.10703549038721,15.811388300841896,19.313207915827967,21.0,24994.776024439427,6.32178568413154,2.458269415885704,1140,2.2861911324288404,2.23606797749979,3.146689351267401,100.69405924055683,0.23441677473362232
10.0,20703.551433004624,2.380196451766116,16.120704976824353,15.811388300841896,19.339079605813716,21.0,25004.356066280765,6.109030478090333,2.4742922747496863,1145,2.277088256571735,2.23606797749979,3.146689351267401,100.69405924055683,0.23515866384899475
10.1,20826.855175511424,2.3621464972315764,16.136500724624053,15.84297951775486,19.339079605813716,20.97617696340303,25059.29363175836,6.849136081597605,2.488957726849283,1127,2.28238749507756,2.23606797749979,3.146689351267401,100.69405924055683,0.23392449538047697
10.200000000000001,20967.01245917492,2.569564223804914,16.135277638432502,15.84297951775486,19.313207915827967,20.92844953645635,25051.326955110813,6.299152671981507,2.5057085051714663,1122,2.2919383324167737,2.23606797749979,3.146689351267401,100.69405924055683,0.23414790927592607
10.3,21086.774568121356,2.741949802193419,16.127966355753568,15.84297951775486,19.261360284258224,20.92844953645635,25102.3726191016,7.099405055312377,2.5224476448277047,1131,2.2755863219408674,2.23606797749979,0.3056213856796598,9.779884341749113,0.23172042411993196
10.4,21190.409232193604,2.6006392098146542,16.1249092808658,15.84297951775486,19.261360284258224,20.904544960366874,25182.72904889536,6.322369076293508,2.5375103694280683,1120,2.280980369996678,2.23606797749979,0.3056213856796598,9.779884341749113,0.2277567630091392
10.5,21311.14660152398,2.571004811623117,16.11572278761648,15.84297951775486,19.235384061671343,20.904544960366874,25294.793704111722,7.170482096082127,2.553528278313364,1112,2.291871596035716,2.23606797749979,0.3056213856796598,9.779884341749113,0.22235427409939731
10.6,21459.708105067344,3.5062534357271065,16.106706411916782,15.84297951775486,19.235384061671343,20.904544960366874,25558.525888525735,7.234246229220523,2.570296956478038,1125,2.2901927018860553,2.23606797749979,3.146689351267401,100.69405924055683,0.21235357279244266
10.700000000000001,21555.55849155193,2.6147736464623383,16.097659499411332,15.84297951775486,19.235384061671343,20.904544960366874,25725.17712752912,6.86149135219683,2.5866683393353633,1168,2.274953103621921,2.23606797749979,3.146689351267401,100.69405924055683,0.2060075107824697
10.8,21678.703418620906,2.8586493453109147,16.094516860857773,15.84297951775486,19.261360284258224,20.904544960366874,25893.133033167964,7.4533064549665164,2.602873393336347,1137,2.287508444083167,2.23606797749979,3.365233040927996,107.68745730969587,0.20004700645795612
10.9,21799.93148235468,2.6524827365346293,16.082262037840255,15.811388300841896,19.261360284258224,20.92844953645635,26064.143278862222,7.71078054031408,2.6180037932985423,1156,2.2751190537053483,2.23606797749979,3.146689351267401,100.69405924055683,0.19476419852135038
11.0,21893.935774829064,2.4833035302629822,16.071774152879737,15.811388300841896,19.313207915827967,20.92844953645635,26327.01948469457,6.65068973298807,2.6331677627671164,1175,2.273869449015186,2.23606797749979,3.365233040927996,107.68745730969587,0.1878894864832771
11.1,21999.91304407621,2.8034471510010444,16.06098820625739,15.811388300841896,19.339079605813716,20.97617696340303,26468.36054414439,7.099120172091284,2.6480782102398526,1143,2.292166661428072,2.23606797749979,3.146689351267401,100.69405924055683,0.18526845911100323
11.200000000000001,22094.821532315553,2.629477110616962,16.042525161206044,15.7797338380595,19.339079605813716,20.97617696340303,26626.311692298634,7.0192689028579585,2.661680471340003,1149,2.288854368879377,2.23606797749979,3.146689351267401,100.69405924055683,0.18240705655689632
11.3,22151.283224254305,2.538555545967201,16.0214521450709,15.7797338380595,19.313207915827967,20.97617696340303,26835.715968945173,6.672374907299431,2.6741462707810015,1192,2.268320458264672,2.23606797749979,3.146689351267401,100.69405924055683,0.17798606102400738
11.4,22264.301944757142,3.0416663092979577,16.004502878341672,15.7797338380595,19.313207915827967,20.97617696340303,26947.289463505334,8.607503540478012,2.6861241521685066,1170,2.2646709511479535,2.23606797749979,3.146689351267401,100.69405924055683,0.17597060608627438
11.5,22380.345388965736,2.1491445315210127,15.99199920085276,15.748015748023622,19.261360284258224,20.97617696340303,27110.43413221486,7.310388024369928,2.700552619425699,1128,2.2876819809844045,2.23606797749979,3.146689351267401,100.69405924055683,0.1717575755471238
11.6,22475.805688103108,2.2323385850023367,15.98069142145476,15.684387141358123,19.235384061671343,20.92844953645635,27216.72765056966,5.557905997707003,2.7146510131897,1201,2.2640640438431205,2.23606797749979,3.146689351267401,100.69405924055683,0.16842490106842375
11.700000000000001,22572.146773830682,2.225788063656201,15.970231340558785,15.684387141358123,19.235384061671343,20.904544960366874,27337.38495950225,5.798363206608993,2.7287439361161545,1170,2.2746562056691877,2.23606797749979,3.146689351267401,100.69405924055683,0.16381446159298252
11.8,22685.342620530533,2.6270747187816617,15.960905369036523,15.684387141358123,19.209372712298546,20.904544960366874,27391.31718547316,6.493543754453428,2.7431577740657103,1186,2.272080330709811,2.23606797749979,3.146689351267401,100.69405924055683,0.1609998784242047
11.9,22786.435190949673,2.1788379815488184,15.959592199866606,15.652475842498529,19.209372712298546,20.904544960366874,27430.251025560974,6.61579858079187,2.7565749984505246,1190,2.2623973635374988,2.23606797749979,3.146689351267401,100.69405924055683,0.15848478510472036
12.0,22872.139338923447,2.2489172482684223,15.950417299877316,15.652475842498529,19.209372712298546,20.83266665599966,27505.994035113683,5.19913952534275,2.76972551582863,1178,2.27426976235071,2.23606797749979,3.146689351267401,100.69405924055683,0.1548436024643785
12.1,22994.714642575706,2.2251472396744756,15.958274485672835,15.684387141358123,19.209372712298546,20.83266665599966,27524.585258953623,5.651011631872153,2.784162002865509,1215,2.2708200552944215,2.23606797749979,3.146689351267401,100.69405924055683,0.15356751989026832
12.200000000000001,23107.22829928672,2.25890057192748,15.958745338550884,15.684387141358123,19.209372712298546,20.808652046684813,27594.854947857362,5.408798329583957,2.7993026077525487,1181,2.2908001352317076,2.23606797749979,3.146689351267401,100.69405924055683,0.15150498394033268
12.3,23220.160035939938,2.2794701025131627,15.964428414905063,15.684387141358123,19.209372712298546,20.808652046684813,27680.541923074572,5.809291378351912,2.8137683239245055,1188,2.2654231160926552,2.23606797749979,3.146689351267401,100.69405924055683,0.1493969515387617
12.4,23333.099273874966,2.0749664542422535,15.965677254896136,15.748015748023622,19.131126469708992,20.73644135332772,27795.80838049096,5.724616237695887,2.828214768734089,1215,2.270218163756144,2.23606797749979,3.146689351267401,100.69405924055683,0.14715062406150164
12.5,23414.653874554988,2.3383426800187475,15.972818968244702,15.748015748023622,19.209372712298546,20.784609690826528,27896.16594712008,5.513959852248301,2.8422693679006583,1182,2.265754031001452,2.23606797749979,3.365233040927996,107.68745730969587,0.1455920593152774
