kind,seed,family,score,best,best_score,kstar_used,kstar_own,kstarL_used,n_shell,C,C_star,M
isotropic_inj,17,SC,0.4051705633389359,BCC,0.5948294366610641,0.3141592653589793,17.27875959474386,6.283185307179586,18,0.9999754935981081,3.5305429672689445e-05,
isotropic_inj,17,BCC,0.5948294366610641,BCC,0.5948294366610641,0.3141592653589793,17.27875959474386,6.283185307179586,18,0.9999754935981081,3.5305429672689445e-05,
isotropic_inj,17,FCC,0.0,BCC,0.5948294366610641,0.3141592653589793,17.27875959474386,6.283185307179586,18,0.9999754935981081,3.5305429672689445e-05,
isotropic_inj,17,HCP,0.5263115849183213,BCC,0.5948294366610641,0.3141592653589793,17.27875959474386,6.283185307179586,18,0.9999754935981081,3.5305429672689445e-05,
isotropic_ownk,18,SC,0.4474361044695506,BCC,0.7158455283937158,0.6283185307179586,0.6283185307179586,12.566370614359172,62,0.9999872084192728,0.0003071920481273069,
isotropic_ownk,18,BCC,0.7158455283937158,BCC,0.7158455283937158,0.6283185307179586,0.6283185307179586,12.566370614359172,62,0.9999872084192728,0.0003071920481273069,
isotropic_ownk,18,FCC,0.5525638955304497,BCC,0.7158455283937158,0.6283185307179586,0.6283185307179586,12.566370614359172,62,0.9999872084192728,0.0003071920481273069,
isotropic_ownk,18,HCP,0.49823112030826594,BCC,0.7158455283937158,0.6283185307179586,0.6283185307179586,12.566370614359172,62,0.9999872084192728,0.0003071920481273069,
isotropic_inj,18,SC,0.26481340994559815,BCC,0.7351865900544019,0.3141592653589793,0.6283185307179586,6.283185307179586,18,0.9999872084192728,0.0003071920481273069,
isotropic_inj,18,BCC,0.7351865900544019,BCC,0.7351865900544019,0.3141592653589793,0.6283185307179586,6.283185307179586,18,0.9999872084192728,0.0003071920481273069,
isotropic_inj,18,FCC,0.0,BCC,0.7351865900544019,0.3141592653589793,0.6283185307179586,6.283185307179586,18,0.9999872084192728,0.0003071920481273069,
isotropic_inj,18,HCP,0.5290308444176979,BCC,0.7351865900544019,0.3141592653589793,0.6283185307179586,6.283185307179586,18,0.9999872084192728,0.0003071920481273069,
isotropic_ownk,19,SC,0.5342742947653912,BCC,0.8232287260543338,0.9424777960769379,0.9424777960769379,18.84955592153876,98,0.9999752714362079,0.0004437836240308103,
isotropic_ownk,19,BCC,0.8232287260543338,BCC,0.8232287260543338,0.9424777960769379,0.9424777960769379,18.84955592153876,98,0.9999752714362079,0.0004437836240308103,
isotropic_ownk,19,FCC,0.5523235392539998,BCC,0.8232287260543338,0.9424777960769379,0.9424777960769379,18.84955592153876,98,0.9999752714362079,0.0004437836240308103,
isotropic_ownk,19,HCP,0.5894306425135325,BCC,0.8232287260543338,0.9424777960769379,0.9424777960769379,18.84955592153876,98,0.9999752714362079,0.0004437836240308103,
isotropic_inj,19,SC,0.4172436450430532,BCC,0.5827563549569467,0.3141592653589793,0.9424777960769379,6.283185307179586,18,0.9999752714362079,0.0004437836240308103,
isotropic_inj,19,BCC,0.5827563549569467,BCC,0.5827563549569467,0.3141592653589793,0.9424777960769379,6.283185307179586,18,0.9999752714362079,0.0004437836240308103,
isotropic_inj,19,FCC,0.0,BCC,0.5827563549569467,0.3141592653589793,0.9424777960769379,6.283185307179586,18,0.9999752714362079,0.0004437836240308103,
isotropic_inj,19,HCP,0.5013991079041862,BCC,0.5827563549569467,0.3141592653589793,0.9424777960769379,6.283185307179586,18,0.9999752714362079,0.0004437836240308103,
isotropic_ownk,20,SC,0.0,FCC,1.0,17.27875959474386,17.27875959474386,345.5751918948772,7,0.9999823446365842,3.964064342598937e-05,
isotropic_ownk,20,BCC,0.0,FCC,1.0,17.27875959474386,17.27875959474386,345.5751918948772,7,0.9999823446365842,3.964064342598937e-05,
isotropic_ownk,20,FCC,1.0,FCC,1.0,17.27875959474386,17.27875959474386,345.5751918948772,7,0.9999823446365842,3.964064342598937e-05,
isotropic_ownk,20,HCP,0.0,FCC,1.0,17.27875959474386,17.27875959474386,345.5751918948772,7,0.9999823446365842,3.964064342598937e-05,
isotropic_inj,20,SC,0.17144699538150163,BCC,0.8285530046184983,0.3141592653589793,17.27875959474386,6.283185307179586,18,0.9999823446365842,3.964064342598937e-05,
isotropic_inj,20,BCC,0.8285530046184983,BCC,0.8285530046184983,0.3141592653589793,17.27875959474386,6.283185307179586,18,0.9999823446365842,3.964064342598937e-05,
isotropic_inj,20,FCC,0.0,BCC,0.8285530046184983,0.3141592653589793,17.27875959474386,6.283185307179586,18,0.9999823446365842,3.964064342598937e-05,
isotropic_inj,20,HCP,0.28548333728642034,BCC,0.8285530046184983,0.3141592653589793,17.27875959474386,6.283185307179586,18,0.9999823446365842,3.964064342598937e-05,
isotropic_ownk,21,SC,0.0,FCC,1.0,16.650441064025905,16.650441064025905,333.0088212805181,168,0.9999773940095483,0.0007118595973811989,
isotropic_ownk,21,BCC,0.059026594131293186,FCC,1.0,16.650441064025905,16.650441064025905,333.0088212805181,168,0.9999773940095483,0.0007118595973811989,
isotropic_ownk,21,FCC,1.0,FCC,1.0,16.650441064025905,16.650441064025905,333.0088212805181,168,0.9999773940095483,0.0007118595973811989,
isotropic_ownk,21,HCP,0.0,FCC,1.0,16.650441064025905,16.650441064025905,333.0088212805181,168,0.9999773940095483,0.0007118595973811989,
isotropic_inj,21,SC,0.4492826816787452,BCC,0.5507173183212548,0.3141592653589793,16.650441064025905,6.283185307179586,18,0.9999773940095483,0.0007118595973811989,
isotropic_inj,21,BCC,0.5507173183212548,BCC,0.5507173183212548,0.3141592653589793,16.650441064025905,6.283185307179586,18,0.9999773940095483,0.0007118595973811989,
