t,norm,peak,PR,R_rms,peak_n_cells_half,peak_width_phys,artifact_1_2_cells,finite,ic,seed,N,dx,backend
0.485,1555.00341796875,0.5548372864723206,16413.16980422024,16.006099204996993,736,2.800483851191653,False,True,1atom,0,64,0.5,mlx
0.49,1569.92236328125,0.5858035087585449,16405.31641870334,16.005119157766604,560,2.556641358872719,False,True,1atom,0,64,0.5,mlx
0.495,1585.72412109375,0.5784108638763428,16410.012953801743,16.004441474822713,651,2.6882364417217066,False,True,1atom,0,64,0.5,mlx
0.5,1601.353271484375,0.6005820035934448,16399.61438821517,16.003696506028678,553,2.5459439895799143,False,True,1atom,0,64,0.5,mlx
0.505,1617.66650390625,0.6406673789024353,16396.104625363314,16.00256498325024,376,2.2387370303845966,False,True,1atom,0,64,0.5,mlx
0.51,1633.635009765625,0.6264806985855103,16396.72007487986,16.002836714997304,468,2.4081807782326505,False,True,1atom,0,64,0.5,mlx
0.515,1649.153564453125,0.608771026134491,16394.995347802127,16.00201988037156,617,2.6405973873348616,False,True,1atom,0,64,0.5,mlx
0.52,1664.877685546875,0.6189466118812561,16389.278426921755,16.00228147347785,573,2.576273750615015,False,True,1atom,0,64,0.5,mlx
0.525,1679.577880859375,0.6527166962623596,16388.459408492094,16.00265130015787,432,2.344777925390316,False,True,1atom,0,64,0.5,mlx
0.53,1694.85693359375,0.6622495651245117,16390.710399429558,16.00244717333692,415,2.31360829913157,False,True,1atom,0,64,0.5,mlx
0.535,1709.796142578125,0.6718284487724304,16389.08114376999,16.00393807748893,416,2.315465128419067,False,True,1atom,0,64,0.5,mlx
0.54,1725.471923828125,0.6497543454170227,16395.249697093714,16.002863948672,518,2.491057321424478,False,True,1atom,0,64,0.5,mlx
0.545,1741.0302734375,0.6758270263671875,16388.92104012485,16.003276854699646,443,2.3645130211471987,False,True,1atom,0,64,0.5,mlx
0.55,1756.7314453125,0.6281720995903015,16395.113185347804,16.003342334102065,733,2.7966736643760073,False,True,1atom,0,64,0.5,mlx
0.555,1772.8560791015625,0.6229758858680725,16397.132116436016,16.00306245365796,809,2.8901694656137096,False,True,1atom,0,64,0.5,mlx
0.56,1788.171875,0.6547137498855591,16386.41963425137,16.002344445396425,655,2.693731063941906,False,True,1atom,0,64,0.5,mlx
