t,norm,peak,PR,R_rms,peak_n_cells_half,peak_width_phys,artifact_1_2_cells,finite,n_det,pair_sep,ic,seed,N,dx,backend
0.325,1050.0296630859375,2.3214111328125,16292.415471214985,15.993282794048346,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.33,1066.4705810546875,2.424002170562744,16270.390041205257,15.99356701201816,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.335,1081.983154296875,2.4742276668548584,16260.126452504996,15.992999289667267,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.34,1098.327392578125,2.566147804260254,16260.186583319217,15.99292393996352,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.34500000000000003,1114.9993896484375,2.540029525756836,16268.809140388314,15.993831240315929,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.35000000000000003,1130.473876953125,2.6542751789093018,16257.168474908778,15.995443971271484,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.355,1146.180419921875,2.669365167617798,16255.762220161827,15.99438240904449,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.36,1161.850830078125,2.759831666946411,16227.639032288063,15.995039169733912,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.365,1177.800048828125,2.7889480590820312,16217.477279031778,15.994046638150635,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.37,1194.07861328125,2.9127097129821777,16190.540957783976,15.993199580401994,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.375,1210.359130859375,2.9106860160827637,16199.648830553684,15.994555693272371,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.38,1225.9190673828125,2.9452483654022217,16201.379352323152,15.996214816198892,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.385,1242.00048828125,2.9781973361968994,16200.25396310812,15.998830826668993,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.39,1257.187744140625,3.0060291290283203,16201.540574814879,15.99996341214789,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.395,1272.2796630859375,2.9794576168060303,16202.174616791688,16.001261743345317,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.4,1288.15869140625,3.0316061973571777,16213.858488458862,16.000415245875143,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.405,1303.014892578125,3.0273776054382324,16225.932874214364,16.00175512051761,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.41000000000000003,1319.260009765625,3.0385522842407227,16227.985366117464,16.00034133550967,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.41500000000000004,1335.198486328125,3.0053367614746094,16238.963285790554,16.0026596114397,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.42,1351.0003662109375,2.958674907684326,16244.670546247564,16.00218739322745,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.425,1366.4664306640625,2.90803861618042,16258.28167040172,16.003118479570546,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.43,1383.0269775390625,2.958796739578247,16261.995481286562,16.00255387918444,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.435,1398.634033203125,2.936711549758911,16268.194491091472,16.00241440524017,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.44,1413.9049072265625,2.9559431076049805,16259.822073420466,16.00174342191605,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.445,1429.24072265625,2.986294746398926,16256.991173703911,16.001880438815498,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.45,1445.24462890625,2.993610382080078,16264.363239311251,16.00030412268363,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.455,1461.5556640625,2.9827489852905273,16263.17047668709,16.000405984343242,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.46,1477.1295166015625,2.9771716594696045,16268.224812939892,16.001281333141165,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.465,1492.197998046875,2.9800379276275635,16263.185791302081,16.001102719774746,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.47000000000000003,1508.238525390625,2.865276575088501,16272.703423476967,16.00477152661178,1,0.31017524544970004,True,True,2,22.511108368980857,2atom,0,64,0.5,mlx
0.47500000000000003,1523.31591796875,2.9206936359405518,16275.666196130891,16.0057439042224,1,0.31017524544970004,True,True,2,22.511108368980857,2atom,0,64,0.5,mlx
0.48,1539.252197265625,3.036281108856201,16278.83179013333,16.006393509232634,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
0.485,1555.2366943359375,3.058445930480957,16287.338169614863,16.005088724987722,1,0.31017524544970004,True,True,1,,2atom,0,64,0.5,mlx
